epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33956,0.54648,2.54262,1.134,0.00531,0.94792,0.44185,0.32096,0.51235,3.17733,1.07733,0.0003334,0.0003334,0.0003334
2,10.4812,0.56765,1.80641,1.1753,0.00563,0.93333,0.39991,0.26686,0.65989,3.15165,1.33661,0.000669873,0.000669873,0.000669873
3,15.3459,0.635,1.62834,1.25223,0.67848,0.15272,0.35961,0.21028,0.75144,3.17672,1.34798,0.000992418,0.000992418,0.000992418
4,20.0003,0.64245,1.56909,1.2242,0.6249,0.23882,0.45347,0.28128,0.8169,3.0202,1.46957,0.00130103,0.00130103,0.00130103
5,24.5807,0.63138,1.41252,1.21905,0.34433,0.58021,0.30942,0.15749,0.93107,3.68668,1.6971,0.00153435,0.00153435,0.00153435
6,29.2132,0.63522,1.36579,1.21384,0.36998,0.38333,0.3008,0.11361,1.30843,3.40116,2.92259,0.00150119,0.00150119,0.00150119
7,33.7777,0.65105,1.43221,1.24872,0.42574,0.31646,0.26365,0.11999,1.22476,2.98438,2.38022,0.00146802,0.00146802,0.00146802
8,39.2602,0.6508,1.30516,1.24641,0.50166,0.27083,0.24482,0.13322,1.34566,3.12839,2.25611,0.00143486,0.00143486,0.00143486
9,43.9073,0.62731,1.2718,1.21278,0.60065,0.51582,0.47048,0.28587,0.90594,2.26231,1.64165,0.0014017,0.0014017,0.0014017
10,48.4054,0.60958,1.20704,1.19782,0.61634,0.68766,0.65734,0.44697,0.7497,1.87548,1.40765,0.00136853,0.00136853,0.00136853
11,52.9919,0.59968,1.14541,1.19165,0.52072,0.58437,0.60526,0.39194,0.79569,2.12168,1.44779,0.00133537,0.00133537,0.00133537
12,57.5076,0.59344,1.10569,1.17987,0.60029,0.49608,0.503,0.29306,0.85518,2.43184,1.5585,0.00130221,0.00130221,0.00130221
13,61.9857,0.57429,1.10947,1.19294,0.74226,0.66771,0.73604,0.53534,0.64107,1.54052,1.22346,0.00126905,0.00126905,0.00126905
14,66.5647,0.54832,1.00735,1.14518,0.75628,0.67732,0.75032,0.56926,0.63196,1.47047,1.22317,0.00123588,0.00123588,0.00123588
15,71.1034,0.56081,1.00325,1.14033,0.70888,0.61667,0.71134,0.51304,0.69852,1.68877,1.30879,0.00120272,0.00120272,0.00120272
16,75.812,0.5528,0.99701,1.17057,0.70217,0.73419,0.76203,0.54079,0.62919,1.39598,1.2354,0.00116956,0.00116956,0.00116956
17,80.6452,0.5292,0.95822,1.11076,0.77988,0.73228,0.76373,0.60657,0.59362,1.41498,1.14293,0.00113639,0.00113639,0.00113639
18,85.2907,0.53288,0.96568,1.14857,0.72866,0.78192,0.78316,0.61311,0.58298,1.30143,1.17845,0.00110323,0.00110323,0.00110323
19,89.7765,0.5186,0.85292,1.12904,0.76296,0.72188,0.74606,0.54601,0.69194,1.35076,1.2932,0.00107007,0.00107007,0.00107007
20,94.3427,0.50732,0.8581,1.11358,0.81648,0.67917,0.75835,0.59194,0.60785,1.26688,1.17781,0.00103691,0.00103691,0.00103691
21,98.855,0.50597,0.82681,1.10691,0.78399,0.73438,0.80212,0.61353,0.60989,1.20252,1.20446,0.00100374,0.00100374,0.00100374
22,103.388,0.50439,0.8507,1.11417,0.79901,0.76667,0.83185,0.66585,0.54017,1.10607,1.13744,0.00097058,0.00097058,0.00097058
23,107.926,0.53087,0.83679,1.12966,0.81449,0.78396,0.82418,0.63447,0.5906,1.14353,1.18449,0.000937417,0.000937417,0.000937417
24,112.837,0.51376,0.85888,1.12763,0.80999,0.69271,0.77887,0.60724,0.5932,1.23581,1.21568,0.000904254,0.000904254,0.000904254
25,117.299,0.46269,0.78337,1.06782,0.79419,0.80449,0.84768,0.67001,0.55545,1.12897,1.15651,0.000871091,0.000871091,0.000871091
26,121.786,0.47114,0.75614,1.08392,0.75049,0.74941,0.77218,0.60003,0.58293,1.22354,1.18383,0.000837928,0.000837928,0.000837928
27,126.352,0.46674,0.7096,1.06163,0.69635,0.82799,0.79982,0.63634,0.51698,1.13491,1.11761,0.000804765,0.000804765,0.000804765
28,130.901,0.46536,0.72328,1.07373,0.76247,0.73334,0.82644,0.68408,0.48798,1.11219,1.06955,0.000771602,0.000771602,0.000771602
29,135.448,0.45428,0.69731,1.09048,0.71366,0.80675,0.81015,0.6458,0.53991,1.08009,1.14523,0.000738439,0.000738439,0.000738439
30,139.903,0.45522,0.68998,1.07822,0.80296,0.76683,0.80112,0.6361,0.52391,1.0868,1.10083,0.000705276,0.000705276,0.000705276
31,144.55,0.44065,0.63518,1.03597,0.7509,0.76671,0.77962,0.62778,0.51487,1.16229,1.08643,0.000672114,0.000672114,0.000672114
