Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.8266,0.845,0.889,0.7912
PSO,0.012167785153161182,0.022708141575510134,0.9763997799870567,0.004157546468917966,0.7002758865145896,8.253073287547448,0.8706951172421219,0.815366681846417,0.8938490847183458,0.7936444649567062
GWO,0.010302149813257623,0.01964702336178299,0.85,0.006015238095536554,0.8212289314846086,5.0,0.8590378736351258,0.830649095242252,0.8963518952955782,0.7900703646992742
WOA,0.020892533679891342,0.028054458811251695,0.9416349515139107,0.008778299811533349,0.8712075537427646,5.625018393482596,0.8674978432329141,0.8334545499917521,0.8970942657997796,0.7999509869931904
ACO,0.016064390194638827,0.02770501102878343,0.960166805810512,0.007522612072038302,0.7187628883909105,5.752038824146454,0.8395181118415145,0.8685242072935585,0.9037775402250631,0.8050268243400408
