epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93279,0.92392,5.14986,1.13142,0.00617,0.9346,0.25416,0.20892,0.63307,8.10744,1.05253,0.0003334,0.0003334,0.0003334
2,11.5895,1.0142,4.498,1.17071,0.00656,0.91398,0.25257,0.17432,1.02971,8.20896,1.34464,0.000670195,0.000670195,0.000670195
3,16.8928,1.09706,3.94888,1.19599,0.12413,0.728,0.35354,0.24672,0.98679,7.80349,1.25717,0.000993393,0.000993393,0.000993393
4,22.1442,1.18578,3.76615,1.24224,0.00246,0.51905,0.03179,0.01257,2.74871,9.35101,2.74492,0.00130299,0.00130299,0.00130299
5,27.392,1.27789,3.40719,1.26751,0.3422,0.14042,0.20894,0.10166,2.00889,7.66826,2.03832,0.00153749,0.00153749,0.00153749
6,32.6781,1.24528,3.0099,1.28543,0.33416,0.26338,0.2571,0.1588,1.26515,6.23583,1.50882,0.00150512,0.00150512,0.00150512
7,38.6919,1.25365,2.84782,1.27649,0.31099,0.13256,0.16742,0.10068,1.97255,6.11384,1.79594,0.00147274,0.00147274,0.00147274
8,43.9354,1.34331,2.71039,1.3182,0.2353,0.26902,0.22333,0.1178,1.50964,5.50226,1.55839,0.00144036,0.00144036,0.00144036
9,49.2354,1.29774,2.48322,1.28205,0.77365,0.36431,0.45203,0.27291,1.32211,4.34347,1.40925,0.00140798,0.00140798,0.00140798
10,54.511,1.2638,2.20416,1.25216,0.58049,0.71182,0.69283,0.51709,1.15366,3.36408,1.29469,0.00137561,0.00137561,0.00137561
11,59.693,1.18871,2.0301,1.21618,0.44952,0.29537,0.31769,0.1785,1.49476,4.54682,1.56781,0.00134323,0.00134323,0.00134323
12,64.9149,1.17038,1.94661,1.21739,0.60492,0.52042,0.53814,0.3808,1.33165,2.88928,1.39977,0.00131085,0.00131085,0.00131085
13,70.1194,1.19024,1.83795,1.22158,0.59297,0.67411,0.65835,0.53658,1.03661,2.49709,1.23306,0.00127848,0.00127848,0.00127848
14,75.7887,1.15747,1.56703,1.18947,0.65644,0.72093,0.70855,0.51348,1.21282,2.31053,1.29624,0.0012461,0.0012461,0.0012461
15,81.2524,1.18279,1.52386,1.22463,0.64561,0.67788,0.69619,0.51315,1.09296,2.11356,1.26315,0.00121372,0.00121372,0.00121372
16,86.5855,1.17725,1.544,1.22704,0.72514,0.55027,0.62819,0.45571,1.24362,2.35159,1.29796,0.00118135,0.00118135,0.00118135
17,91.7492,1.12717,1.47431,1.20882,0.81342,0.67223,0.78524,0.64609,0.95069,1.75656,1.18576,0.00114897,0.00114897,0.00114897
18,96.9261,1.10863,1.31167,1.18783,0.6869,0.65932,0.7387,0.62626,0.86973,1.54762,1.09853,0.00111659,0.00111659,0.00111659
19,102.143,1.11613,1.29251,1.18745,0.84926,0.78286,0.8397,0.67737,0.9196,1.35367,1.14326,0.00108422,0.00108422,0.00108422
20,107.386,1.08595,1.19835,1.18288,0.76407,0.80342,0.82687,0.615,1.05694,1.42616,1.29525,0.00105184,0.00105184,0.00105184
21,112.557,1.0631,1.15497,1.14873,0.79734,0.69501,0.80219,0.6793,0.88558,1.28732,1.11012,0.00101946,0.00101946,0.00101946
22,118.097,1.08849,1.11796,1.17929,0.73612,0.81561,0.80868,0.66988,0.97091,1.25095,1.15647,0.000987086,0.000987086,0.000987086
23,123.318,1.03718,1.08705,1.15837,0.69517,0.70784,0.70958,0.59477,0.85929,1.33822,1.09723,0.000954709,0.000954709,0.000954709
24,128.528,1.01655,1.04464,1.14494,0.77018,0.71557,0.79233,0.66109,0.84529,1.35305,1.06431,0.000922332,0.000922332,0.000922332
25,133.73,0.96309,1.03334,1.11327,0.83328,0.75306,0.84422,0.71179,0.86495,1.04129,1.10321,0.000889955,0.000889955,0.000889955
26,138.941,0.97519,0.96597,1.13128,0.73728,0.72663,0.8016,0.66236,0.88416,1.13939,1.09845,0.000857578,0.000857578,0.000857578
27,144.489,0.97333,0.95744,1.10782,0.82084,0.7284,0.83556,0.70349,0.86202,1.07529,1.09983,0.000825201,0.000825201,0.000825201
28,149.802,0.99294,0.93257,1.14475,0.81099,0.80532,0.85717,0.70904,0.92242,0.96403,1.09599,0.000792824,0.000792824,0.000792824
29,155.001,0.96627,0.94177,1.12806,0.77638,0.82011,0.84422,0.71706,0.85054,0.95609,1.10386,0.000760447,0.000760447,0.000760447
30,160.148,0.96615,0.89463,1.10227,0.83566,0.77245,0.85743,0.72018,0.85347,0.99934,1.10265,0.000728071,0.000728071,0.000728071
31,165.406,0.91612,0.90041,1.10152,0.80151,0.79912,0.85266,0.68965,0.86372,1.02494,1.08855,0.000695694,0.000695694,0.000695694
32,170.649,0.87554,0.85043,1.0859,0.78044,0.78064,0.83385,0.70952,0.79122,1.01461,1.04925,0.000663317,0.000663317,0.000663317
33,175.843,0.85764,0.85701,1.06157,0.86128,0.78807,0.86967,0.74319,0.80752,0.92297,1.04444,0.00063094,0.00063094,0.00063094
34,181.298,0.88121,0.81809,1.08632,0.77654,0.71407,0.77826,0.65923,0.82456,1.05451,1.05709,0.000598563,0.000598563,0.000598563
35,186.492,0.82995,0.71013,1.05879,0.82773,0.71815,0.80683,0.67153,0.88029,1.00769,1.10778,0.000566186,0.000566186,0.000566186
36,191.641,0.85416,0.74109,1.08952,0.87826,0.77117,0.84928,0.73431,0.7341,0.95239,1.03365,0.000533809,0.000533809,0.000533809
37,196.828,0.88507,0.72738,1.07199,0.80991,0.74644,0.83115,0.72739,0.76809,1.01867,1.04444,0.000501432,0.000501432,0.000501432
38,201.935,0.80162,0.69873,1.03401,0.82324,0.77887,0.83767,0.71452,0.81904,0.97809,1.05692,0.000469056,0.000469056,0.000469056
39,207.219,0.87891,0.77551,1.08512,0.84325,0.82374,0.8442,0.73285,0.76961,0.84672,1.04918,0.000436679,0.000436679,0.000436679
40,212.799,0.75899,0.65411,1.03118,0.86972,0.80518,0.8703,0.77192,0.72936,0.82777,0.99698,0.000404302,0.000404302,0.000404302
41,220.09,0.63316,0.69274,0.98181,0.91179,0.77533,0.86262,0.74523,0.76899,0.95643,1.02298,0.000371925,0.000371925,0.000371925
42,225.263,0.6516,0.65294,0.98365,0.87893,0.81088,0.8726,0.77145,0.77648,0.85429,1.02652,0.000339548,0.000339548,0.000339548
43,230.411,0.6111,0.57819,0.93902,0.7937,0.8561,0.8526,0.74241,0.76373,0.85638,1.03006,0.000307171,0.000307171,0.000307171
44,235.569,0.59116,0.53862,0.94926,0.84951,0.79627,0.83024,0.73007,0.74871,0.88318,1.02041,0.000274794,0.000274794,0.000274794
45,240.68,0.58005,0.51755,0.95313,0.82085,0.83944,0.84668,0.75342,0.70396,0.86488,0.99824,0.000242417,0.000242417,0.000242417
46,246.257,0.5731,0.51997,0.93553,0.87558,0.79595,0.85958,0.76514,0.70633,0.82149,0.99801,0.000210041,0.000210041,0.000210041
47,251.437,0.54826,0.49168,0.92455,0.89661,0.78186,0.86616,0.77048,0.70873,0.81517,0.99754,0.000177664,0.000177664,0.000177664
48,256.585,0.56465,0.4882,0.93691,0.8583,0.77926,0.86654,0.77518,0.71032,0.81416,0.99466,0.000145287,0.000145287,0.000145287
49,261.783,0.51757,0.46442,0.91054,0.79671,0.83097,0.86045,0.77462,0.69266,0.82118,0.98269,0.00011291,0.00011291,0.00011291
50,266.93,0.5728,0.49761,0.94681,0.87025,0.78672,0.86318,0.77845,0.66809,0.8266,0.97469,8.05331e-05,8.05331e-05,8.05331e-05
