epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4941,0.51406,8.34602,0.73032,0.33753,0.63524,0.41198,0.34717,0.23294,1.09696,0.29734,0.00054889,0.00054889,0.00054889
2,70.5712,0.23694,0.77456,0.31312,0.5118,0.50729,0.5019,0.37852,0.36982,0.8979,0.47532,0.00108352,0.00108352,0.00108352
3,105.503,0.26139,0.88918,0.32875,0.60498,0.52944,0.53936,0.34436,0.40998,0.94555,0.59655,0.00159699,0.00159699,0.00159699
4,140.466,0.28384,0.71018,0.40374,0.67431,0.63527,0.66576,0.47505,0.41592,0.77072,0.55979,0.00157177,0.00157177,0.00157177
5,175.795,0.27856,0.79421,0.34142,0.65066,0.59296,0.61875,0.47578,0.29003,0.88766,0.38776,0.00154002,0.00154002,0.00154002
6,210.98,0.24875,0.64526,0.31722,0.64168,0.55012,0.59679,0.45435,0.3231,0.87986,0.4477,0.00150828,0.00150828,0.00150828
7,245.731,0.24824,0.60125,0.35505,0.74354,0.63727,0.71488,0.55523,0.30459,0.73982,0.42028,0.00147653,0.00147653,0.00147653
8,280.685,0.2316,0.64894,0.29788,0.64338,0.68646,0.72717,0.58058,0.29423,0.67902,0.41908,0.00144479,0.00144479,0.00144479
9,315.863,0.23358,0.57482,0.32121,0.63736,0.68201,0.68912,0.48859,0.36012,0.75324,0.47915,0.00141304,0.00141304,0.00141304
10,350.885,0.23275,0.59175,0.3281,0.63518,0.68542,0.68905,0.52138,0.29715,0.72212,0.44219,0.0013813,0.0013813,0.0013813
11,385.624,0.20632,0.63546,0.27471,0.54249,0.59548,0.61015,0.47103,0.29653,0.84707,0.41292,0.00134955,0.00134955,0.00134955
12,421.069,0.23971,0.72643,0.33139,0.61441,0.67812,0.66967,0.48362,0.32241,0.73068,0.47248,0.00131781,0.00131781,0.00131781
13,457.25,0.24516,0.64002,0.31253,0.68499,0.62917,0.6757,0.49612,nan,nan,nan,0.00128607,0.00128607,0.00128607
14,493.515,0.24785,0.63044,0.33568,0.6461,0.68653,0.68603,0.51167,0.29185,0.72785,0.45945,0.00125432,0.00125432,0.00125432
15,529.83,0.23471,0.69664,0.31215,0.63219,0.71019,0.6942,0.5261,0.2989,0.79682,0.44856,0.00122258,0.00122258,0.00122258
16,565.706,0.24822,0.64656,0.31988,0.54785,0.64062,0.57534,0.40549,0.38927,0.89289,0.56015,0.00119083,0.00119083,0.00119083
17,601.911,0.2447,0.61592,0.34437,0.67046,0.58125,0.63133,0.43584,0.37792,0.78744,0.5829,0.00115909,0.00115909,0.00115909
18,637.912,0.26385,0.68283,0.38168,0.63114,0.63938,0.66922,0.49665,0.30402,0.9188,0.44199,0.00112734,0.00112734,0.00112734
19,673.551,0.22603,0.6521,0.27619,0.7171,0.64646,0.6957,0.53761,0.34354,0.6351,0.48974,0.0010956,0.0010956,0.0010956
20,709.582,0.24787,0.5878,0.34603,0.67867,0.65938,0.72483,0.54813,0.2928,0.66587,0.4126,0.00106385,0.00106385,0.00106385
21,745.198,0.21253,0.53911,0.27357,0.70937,0.75625,0.76893,0.58662,0.24383,0.67259,0.37589,0.00103211,0.00103211,0.00103211
22,781.522,0.20311,0.54543,0.25907,0.68713,0.64687,0.7155,0.56325,0.27822,0.69693,0.3945,0.00100036,0.00100036,0.00100036
23,817.129,0.19749,0.53227,0.25834,0.75893,0.69375,0.74874,0.60552,0.29155,0.66842,0.37514,0.000968619,0.000968619,0.000968619
24,852.714,0.21024,0.49352,0.27539,0.65789,0.69167,0.70617,0.55005,0.27754,0.67551,0.36506,0.000936875,0.000936875,0.000936875
25,889.042,0.20529,0.50681,0.26027,0.62134,0.72708,0.72069,0.59923,0.27563,0.67172,0.42338,0.00090513,0.00090513,0.00090513
26,925.299,0.21809,0.52703,0.26682,0.71046,0.69949,0.73775,0.58283,0.29563,0.6771,0.46411,0.000873386,0.000873386,0.000873386
27,961.289,0.21219,0.56764,0.29456,0.74385,0.65229,0.73111,0.57763,0.28778,0.66203,0.40598,0.000841641,0.000841641,0.000841641
28,997.192,0.20406,0.51757,0.25484,0.72708,0.65104,0.75453,0.62594,0.24713,0.65534,0.32403,0.000809897,0.000809897,0.000809897
29,1033.88,0.20284,0.57004,0.26598,0.75182,0.59479,0.69624,0.57921,0.2663,0.73085,0.36801,0.000778152,0.000778152,0.000778152
30,1070.16,0.19041,0.54281,0.25937,0.7038,0.66059,0.72458,0.60109,0.26183,0.72267,0.38248,0.000746407,0.000746407,0.000746407
31,1107.06,0.20192,0.45495,0.25827,0.77619,0.71243,0.77399,0.63479,0.25844,0.56898,0.33827,0.000714663,0.000714663,0.000714663
32,1143.67,0.19024,0.4621,0.26286,0.71046,0.70625,0.73259,0.5719,0.28296,0.68438,0.41541,0.000682918,0.000682918,0.000682918
33,1179.28,0.17921,0.50716,0.2423,0.70517,0.70496,0.71626,0.5863,nan,nan,nan,0.000651174,0.000651174,0.000651174
34,1215.06,0.1877,0.45529,0.24499,0.68857,0.75429,0.75854,0.63134,0.26786,0.61784,0.3681,0.000619429,0.000619429,0.000619429
35,1250.36,0.18361,0.4133,0.24827,0.82643,0.7064,0.79363,0.65789,0.26465,0.57857,0.37605,0.000587685,0.000587685,0.000587685
36,1286.13,0.16806,0.41561,0.20322,0.76022,0.68422,0.7809,0.64365,0.26751,0.66308,0.3781,0.00055594,0.00055594,0.00055594
37,1321.46,0.17226,0.42172,0.21466,0.75759,0.71983,0.7753,0.62623,0.31038,0.59502,0.49245,0.000524195,0.000524195,0.000524195
38,1356.84,0.16059,0.38828,0.21213,0.67709,0.74775,0.75511,0.62332,0.22201,0.69252,0.30715,0.000492451,0.000492451,0.000492451
39,1392.36,0.15565,0.4041,0.17866,0.7599,0.75414,0.78138,0.65362,0.22817,0.6036,0.31866,0.000460706,0.000460706,0.000460706
40,1427.85,0.14992,0.41285,0.18985,0.79907,0.73438,0.79673,0.67015,0.22962,0.58237,0.32052,0.000428962,0.000428962,0.000428962
41,1465.14,0.15408,0.39106,0.19783,0.73769,0.72543,0.77184,0.65885,0.22429,0.60389,0.3104,0.000397217,0.000397217,0.000397217
42,1501.28,0.14612,0.38994,0.19003,0.76174,0.75253,0.80696,0.68394,0.2184,0.60357,0.30481,0.000365473,0.000365473,0.000365473
43,1537.55,0.14534,0.39397,0.18138,0.75795,0.76875,0.81256,0.67749,0.22257,0.58018,0.3086,0.000333728,0.000333728,0.000333728
44,1573.52,0.13585,0.38092,0.16024,0.76742,0.77997,0.80505,0.69335,0.21287,0.58845,0.29068,0.000301983,0.000301983,0.000301983
45,1609.55,0.14436,0.33329,0.18591,0.84101,0.72188,0.8156,0.70567,0.22073,0.5933,0.31231,0.000270239,0.000270239,0.000270239
46,1645.86,0.1332,0.32594,0.16322,0.81665,0.77465,0.82602,0.7117,0.22111,0.56566,0.30666,0.000238494,0.000238494,0.000238494
47,1682.19,0.13511,0.31707,0.17787,0.82988,0.78438,0.82594,0.71003,0.21664,0.58386,0.3079,0.00020675,0.00020675,0.00020675
48,1718.14,0.13976,0.32521,0.16298,0.86078,0.74271,0.83917,0.72154,0.19874,0.57566,0.29274,0.000175005,0.000175005,0.000175005
49,1754.36,0.1315,0.29147,0.16092,0.77275,0.80937,0.83201,0.71136,0.21956,0.56646,0.3074,0.000143261,0.000143261,0.000143261
