epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2005,0.46045,7.55002,0.58259,0.39849,0.77573,0.49454,0.43388,0.15751,0.88199,0.20242,0.00054889,0.00054889,0.00054889
2,68.2866,0.22853,0.73662,0.28097,0.50148,0.71905,0.65995,0.46845,0.28304,1.06478,0.45121,0.00108265,0.00108265,0.00108265
3,102.714,0.29257,0.8465,0.40015,0.28732,0.15357,0.11935,0.08068,1.06651,0.85911,1.94222,0.00159437,0.00159437,0.00159437
4,136.412,0.32196,0.76976,0.46323,0.78336,0.81834,0.84353,0.63602,0.24412,0.7588,0.33448,0.00156781,0.00156781,0.00156781
5,171.207,0.2885,0.73497,0.34731,0.59236,0.66531,0.62079,0.46585,0.31304,0.79196,0.52397,0.00153475,0.00153475,0.00153475
6,204.864,0.30203,0.68476,0.39205,0.55699,0.64454,0.57735,0.43781,0.26011,0.87366,0.41494,0.00150169,0.00150169,0.00150169
7,238.725,0.29135,0.69985,0.36772,0.61675,0.68048,0.69507,0.57083,0.21828,0.75989,0.32614,0.00146863,0.00146863,0.00146863
8,272.223,0.27747,0.64663,0.35256,0.64917,0.72133,0.74067,0.58356,0.2388,0.68617,0.36046,0.00143557,0.00143557,0.00143557
9,305.893,0.25004,0.61862,0.32474,0.7096,0.76793,0.74632,0.6009,0.20492,0.81865,0.29595,0.00140251,0.00140251,0.00140251
10,340.022,0.22926,0.64344,0.30168,0.5196,0.7991,0.72122,0.60541,0.21895,0.78638,0.32656,0.00136944,0.00136944,0.00136944
11,373.854,0.22982,0.61889,0.29456,0.73897,0.79629,0.84032,0.70213,0.18938,0.58073,0.28655,0.00133638,0.00133638,0.00133638
12,407.831,0.2286,0.54347,0.28799,0.83107,0.77926,0.85856,0.73326,0.19124,0.54704,0.29728,0.00130332,0.00130332,0.00130332
13,441.952,0.2192,0.53996,0.28711,0.80728,0.72879,0.79594,0.69064,0.19374,0.60579,0.28595,0.00127026,0.00127026,0.00127026
