epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52609,0.48646,5.67961,0.01024,0.00455,0.92771,0.25201,0.17937,0.35591,7.48736,0.00962,0.0003334,0.0003334,0.0003334
2,10.7503,0.44858,5.012,0.00998,0.00442,0.92169,0.32796,0.27461,0.40536,7.2344,0.00989,0.000669869,0.000669869,0.000669869
3,16.0389,0.51659,4.37965,0.01202,0.65978,0.19239,0.44237,0.35973,0.52225,6.98537,0.01415,0.000992405,0.000992405,0.000992405
4,21.1586,0.57705,3.99787,0.01434,0.6588,0.46441,0.53185,0.39495,0.63655,6.2115,0.01876,0.00130101,0.00130101,0.00130101
5,27.1633,0.67483,3.5529,0.01589,0.54191,0.57977,0.51702,0.3778,0.64268,5.30091,0.01924,0.00153431,0.00153431,0.00153431
6,32.2053,0.60801,3.16301,0.01412,0.69036,0.64958,0.67986,0.49085,0.64764,4.54128,0.01955,0.00150113,0.00150113,0.00150113
7,37.264,0.62488,2.88994,0.01586,0.7828,0.60148,0.73228,0.52064,0.65849,3.97638,0.02028,0.00146796,0.00146796,0.00146796
8,42.4457,0.59871,2.60919,0.01482,0.60244,0.71712,0.67807,0.49098,0.7294,3.51258,0.02441,0.00143479,0.00143479,0.00143479
9,47.5263,0.62003,2.34425,0.01538,0.82,0.61937,0.73851,0.55585,0.70606,3.01711,0.02161,0.00140161,0.00140161,0.00140161
10,52.5969,0.61749,2.09431,0.01447,0.70174,0.66734,0.72617,0.54726,0.68283,2.81122,0.02131,0.00136844,0.00136844,0.00136844
11,57.7938,0.58888,1.89337,0.01354,0.77131,0.65858,0.73764,0.5471,0.71344,2.56331,0.02204,0.00133527,0.00133527,0.00133527
12,63.4876,0.58466,1.83145,0.01455,0.70853,0.69676,0.7589,0.52811,0.78622,2.35229,0.02532,0.00130209,0.00130209,0.00130209
13,68.4851,0.58393,1.65439,0.01284,0.74049,0.7494,0.77259,0.58319,0.72674,2.07878,0.0234,0.00126892,0.00126892,0.00126892
14,73.7418,0.5892,1.49466,0.01341,0.73827,0.72711,0.77336,0.59485,0.67233,1.93804,0.01928,0.00123575,0.00123575,0.00123575
15,78.8238,0.57714,1.42696,0.01308,0.76037,0.77956,0.81198,0.62575,0.6901,1.72485,0.0205,0.00120257,0.00120257,0.00120257
16,84.319,0.56668,1.34626,0.01302,0.79214,0.65813,0.7691,0.61632,0.61871,1.87482,0.01912,0.0011694,0.0011694,0.0011694
17,89.3253,0.50875,1.21186,0.01224,0.82581,0.64421,0.7647,0.61081,0.63166,1.75811,0.0188,0.00113623,0.00113623,0.00113623
18,94.4008,0.54152,1.18595,0.01214,0.72073,0.71009,0.79349,0.6053,0.6843,1.62226,0.02024,0.00110305,0.00110305,0.00110305
19,99.474,0.57511,1.12606,0.01332,0.81881,0.73622,0.82846,0.65447,0.64194,1.42759,0.01887,0.00106988,0.00106988,0.00106988
20,104.611,0.54579,1.03868,0.01278,0.79629,0.72871,0.79951,0.65006,0.59711,1.4413,0.01764,0.00103671,0.00103671,0.00103671
21,109.623,0.50656,0.97554,0.01095,0.7805,0.72535,0.80111,0.62435,0.63894,1.43133,0.01961,0.00100353,0.00100353,0.00100353
22,114.707,0.49993,0.99614,0.0112,0.84451,0.75676,0.84354,0.65409,0.58233,1.32572,0.0172,0.000970361,0.000970361,0.000970361
23,119.755,0.47727,0.96675,0.01101,0.75794,0.77907,0.8156,0.63156,0.58202,1.30347,0.01698,0.000937187,0.000937187,0.000937187
24,125.191,0.48493,0.89212,0.01033,0.71699,0.79463,0.82918,0.67518,0.55418,1.27843,0.01575,0.000904014,0.000904014,0.000904014
25,130.782,0.46766,0.83524,0.01107,0.75911,0.76473,0.82553,0.67337,0.55904,1.22613,0.01599,0.000870841,0.000870841,0.000870841
26,135.922,0.48813,0.85925,0.01164,0.8903,0.76263,0.8498,0.65396,0.61315,1.21822,0.01882,0.000837667,0.000837667,0.000837667
27,141.306,0.46717,0.80064,0.01052,0.88699,0.74672,0.84629,0.68151,0.5591,1.18793,0.01551,0.000804494,0.000804494,0.000804494
28,146.318,0.47116,0.79687,0.01074,0.84844,0.78527,0.84705,0.6845,0.55413,1.10176,0.01605,0.000771321,0.000771321,0.000771321
29,151.457,0.4233,0.73375,0.00914,0.82963,0.78511,0.86335,0.7074,0.52664,1.07458,0.01498,0.000738148,0.000738148,0.000738148
30,156.551,0.43291,0.72685,0.00989,0.84264,0.75829,0.84889,0.69435,0.55033,1.10719,0.01526,0.000704974,0.000704974,0.000704974
31,161.776,0.43921,0.7023,0.00939,0.86251,0.78252,0.86073,0.70267,0.50315,1.07687,0.01372,0.000671801,0.000671801,0.000671801
