Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.8742,0.8118,0.883,0.7974
ACO,0.009868286832830623,0.029986851998214797,0.8821254657471874,0.0037368813336928564,0.0,5.500729486682667,0.8128407683428941,0.7574406449088606,0.8305444940584696,0.7167685776034626
