epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5771,0.47163,7.51916,0.59473,0.37824,0.83013,0.46699,0.39388,0.18207,0.92177,0.27619,0.00054889,0.00054889,0.00054889
2,67.1453,0.26788,0.74825,0.34177,0.61918,0.75082,0.78846,0.64806,0.23015,0.7676,0.34484,0.00108313,0.00108313,0.00108313
3,100.628,0.35199,0.91094,0.44742,0.65027,0.5543,0.62552,0.44135,nan,nan,nan,0.00159581,0.00159581,0.00159581
4,133.898,0.32585,0.83688,0.4318,0.58229,0.62037,0.60322,0.42494,0.35511,0.8344,0.61273,0.00156998,0.00156998,0.00156998
5,167.387,0.34847,0.8729,0.42214,0.32651,0.4621,0.31055,0.19019,nan,nan,nan,0.00153764,0.00153764,0.00153764
6,200.237,0.33041,0.86804,0.38322,0.50841,0.27671,0.25485,0.19962,nan,nan,nan,0.0015053,0.0015053,0.0015053
7,233.125,0.3038,0.74584,0.38627,0.77456,0.30838,0.348,0.2725,nan,nan,nan,0.00147296,0.00147296,0.00147296
8,266.008,0.35224,0.88426,0.44306,0.54364,0.42164,0.3912,0.27522,nan,nan,nan,0.00144062,0.00144062,0.00144062
9,298.956,0.35092,0.99317,0.45187,0.51166,0.46626,0.38014,0.27487,nan,nan,nan,0.00140828,0.00140828,0.00140828
10,332.317,0.41528,0.98594,0.55488,0.57925,0.30224,0.32705,0.18497,nan,nan,nan,0.00137594,0.00137594,0.00137594
11,365.2,0.37454,0.97879,0.44857,0.64408,0.4128,0.47307,0.31753,nan,nan,nan,0.0013436,0.0013436,0.0013436
12,398.084,0.33874,0.9153,0.42897,0.54904,0.50275,0.47132,0.33021,nan,nan,nan,0.00131126,0.00131126,0.00131126
13,430.848,0.37185,0.85564,0.44302,0.65742,0.5069,0.53594,0.40595,nan,nan,nan,0.00127892,0.00127892,0.00127892
14,463.549,0.33415,0.9677,0.40746,0.27142,0.20012,0.15674,0.1028,nan,nan,nan,0.00124658,0.00124658,0.00124658
15,496.729,0.37762,0.95099,0.49028,0.52695,0.55802,0.48434,0.33291,nan,nan,nan,0.00121424,0.00121424,0.00121424
16,529.433,0.37681,1.02591,0.4569,0.38419,0.41064,0.32173,0.2284,nan,nan,nan,0.0011819,0.0011819,0.0011819
17,562.153,0.40961,0.95732,0.5126,0.55879,0.54281,0.52771,0.37465,nan,nan,nan,0.00114956,0.00114956,0.00114956
