epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73388,0.84952,5.16185,1.11518,0.00639,0.87907,0.21138,0.14164,0.84151,7.43997,1.11228,0.0003334,0.0003334,0.0003334
2,11.1406,0.93504,4.42189,1.14691,0.00638,0.85542,0.27433,0.2083,0.93895,7.41626,1.24257,0.000670195,0.000670195,0.000670195
3,16.5494,1.06638,3.92516,1.16939,0.00423,0.84337,0.28985,0.18013,1.06765,7.27695,1.33694,0.000993393,0.000993393,0.000993393
4,21.7763,1.18255,3.73664,1.23465,0.13798,0.01839,0.11135,0.05689,1.54665,7.23611,1.72583,0.00130299,0.00130299,0.00130299
5,27.0038,1.25236,3.5447,1.27621,0.67111,0.03012,0.05159,0.03004,2.31511,7.44605,2.22339,0.00153749,0.00153749,0.00153749
6,32.2886,1.19391,3.16708,1.24603,0.53586,0.36958,0.38863,0.25758,1.37349,5.87295,1.64177,0.00150512,0.00150512,0.00150512
7,37.6031,1.21243,2.88347,1.25857,0.40952,0.34322,0.33445,0.20669,1.51836,5.37606,1.73911,0.00147274,0.00147274,0.00147274
8,43.656,1.16042,2.63019,1.21948,0.66799,0.54699,0.60848,0.39428,1.5003,3.88463,1.59612,0.00144036,0.00144036,0.00144036
9,48.8718,1.20222,2.48778,1.2419,0.57501,0.42042,0.50269,0.31187,1.31353,3.88722,1.51841,0.00140798,0.00140798,0.00140798
10,54.0893,1.19452,2.25527,1.2374,0.50726,0.43855,0.40727,0.24619,1.45561,3.76507,1.63378,0.00137561,0.00137561,0.00137561
11,59.5445,1.2212,2.16011,1.27319,0.43736,0.41687,0.42205,0.2467,1.59444,3.8573,1.60363,0.00134323,0.00134323,0.00134323
12,65.057,1.16462,1.972,1.22141,0.42904,0.52892,0.44579,0.29529,1.40218,3.06181,1.43748,0.00131085,0.00131085,0.00131085
13,70.189,1.18592,1.8776,1.26805,0.73348,0.5199,0.59015,0.40011,1.37135,2.67499,1.47882,0.00127848,0.00127848,0.00127848
14,75.3892,1.14841,1.68204,1.20269,0.64205,0.57327,0.55653,0.40806,1.18722,2.43949,1.30865,0.0012461,0.0012461,0.0012461
15,80.519,1.12046,1.54833,1.18148,0.65033,0.58916,0.62909,0.47127,1.18546,2.28842,1.31678,0.00121372,0.00121372,0.00121372
16,85.7356,1.10911,1.51645,1.23358,0.72555,0.63494,0.71017,0.51631,1.15067,2.01294,1.29768,0.00118135,0.00118135,0.00118135
17,90.9352,1.10149,1.4366,1.17725,0.44047,0.56054,0.5097,0.31163,1.38761,2.61716,1.45101,0.00114897,0.00114897,0.00114897
18,96.2211,1.08058,1.37795,1.19052,0.66835,0.60256,0.63545,0.45648,1.26628,2.02666,1.329,0.00111659,0.00111659,0.00111659
19,101.406,1.04557,1.24136,1.1364,0.74155,0.60768,0.71118,0.53475,1.23489,1.74765,1.34195,0.00108422,0.00108422,0.00108422
20,106.659,1.02399,1.12546,1.15211,0.72341,0.68707,0.74035,0.55159,1.1866,1.566,1.29392,0.00105184,0.00105184,0.00105184
21,111.874,1.02002,1.1731,1.15419,0.71741,0.6359,0.73259,0.58204,1.08036,1.48049,1.21171,0.00101946,0.00101946,0.00101946
22,117.439,0.9961,1.11841,1.13273,0.70181,0.71308,0.74145,0.59889,1.04173,1.42943,1.19745,0.000987086,0.000987086,0.000987086
23,122.604,0.98811,1.04301,1.11797,0.75597,0.67801,0.76051,0.59768,1.08522,1.44865,1.27156,0.000954709,0.000954709,0.000954709
24,128.274,0.97679,0.99465,1.12423,0.67745,0.64291,0.65761,0.50579,1.10877,1.6055,1.26678,0.000922332,0.000922332,0.000922332
25,133.623,0.9761,1.01201,1.12998,0.7157,0.67543,0.72812,0.54343,1.11428,1.42467,1.29913,0.000889955,0.000889955,0.000889955
26,138.815,0.91779,0.8971,1.08839,0.74117,0.7137,0.77015,0.56755,1.1375,1.40321,1.35588,0.000857578,0.000857578,0.000857578
27,143.999,0.95094,0.96756,1.12202,0.73974,0.66237,0.72298,0.57985,1.03714,1.3768,1.18971,0.000825201,0.000825201,0.000825201
28,149.198,0.9065,0.9535,1.12176,0.73859,0.70879,0.72887,0.60709,1.05038,1.28141,1.20023,0.000792824,0.000792824,0.000792824
29,154.432,0.9182,0.88023,1.09754,0.7935,0.73087,0.78703,0.64244,1.08256,1.14547,1.22899,0.000760447,0.000760447,0.000760447
30,159.65,0.87319,0.8083,1.06868,0.74165,0.78645,0.81313,0.65765,1.03796,1.12219,1.15662,0.000728071,0.000728071,0.000728071
31,164.891,0.85744,0.77191,1.07664,0.76141,0.73024,0.79305,0.6285,1.08828,1.16766,1.22282,0.000695694,0.000695694,0.000695694
