epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2182,0.54619,7.42211,0.6817,0.44712,0.44232,0.43895,0.38637,0.17339,1.15548,0.20434,0.00054889,0.00054889,0.00054889
2,70.8487,0.22214,0.76665,0.30793,0.73739,0.56323,0.67364,0.45636,0.45618,0.66878,0.7181,0.00108352,0.00108352,0.00108352
3,105.457,0.23545,0.79363,0.29677,0.57745,0.35723,0.36541,0.20621,0.39397,1.55732,0.62085,0.00159699,0.00159699,0.00159699
4,139.785,0.26523,0.82066,0.35338,0.62694,0.43449,0.51096,0.29773,0.41729,1.10484,0.7442,0.00157177,0.00157177,0.00157177
5,173.575,0.27507,0.7443,0.35988,0.63431,0.62917,0.60505,0.47899,nan,nan,nan,0.00154002,0.00154002,0.00154002
6,208.064,0.24084,0.59897,0.32224,0.8285,0.6327,0.72786,0.54599,0.30861,0.69679,0.53572,0.00150828,0.00150828,0.00150828
7,242.518,0.26423,0.75593,0.34239,0.23601,0.12545,0.10356,0.05005,0.99486,0.97892,1.80801,0.00147653,0.00147653,0.00147653
8,276.617,0.31228,0.89363,0.41654,0.46825,0.51229,0.43996,0.23814,0.52379,1.03495,0.92201,0.00144479,0.00144479,0.00144479
9,310.66,0.30871,0.81157,0.45339,0.55415,0.60467,0.58513,0.42087,0.33198,0.88276,0.52375,0.00141304,0.00141304,0.00141304
10,344.846,0.29551,0.7648,0.43021,0.56988,0.56089,0.55481,0.38951,nan,nan,nan,0.0013813,0.0013813,0.0013813
11,378.507,0.25602,0.76474,0.33584,0.5651,0.6454,0.64158,0.4682,0.3209,0.88699,0.47747,0.00134955,0.00134955,0.00134955
12,412.532,0.28376,0.69908,0.36202,0.70263,0.68916,0.71385,0.53829,0.31673,0.69285,0.51807,0.00131781,0.00131781,0.00131781
13,446.295,0.25297,0.674,0.31789,0.64739,0.71147,0.69936,0.53121,0.2901,0.70352,0.43756,0.00128607,0.00128607,0.00128607
