epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3322,0.49195,5.0651,1.12076,0.00783,0.81948,0.22242,0.14772,0.50827,7.78113,1.15733,0.0003334,0.0003334,0.0003334
2,23.188,0.51365,4.6453,1.14367,0.00668,0.84522,0.23761,0.14107,0.53652,7.70311,1.26441,0.000670427,0.000670427,0.000670427
3,28.5813,0.62007,4.21731,1.22092,0.70643,0.02419,0.27054,0.17274,0.66465,7.43432,1.39116,0.000994092,0.000994092,0.000994092
4,33.9587,0.64924,3.82041,1.20914,0.40323,0.10453,0.12833,0.05415,1.11205,7.85078,2.15782,0.0013044,0.0013044,0.0013044
5,39.2132,0.71016,3.5732,1.26044,0.33165,0.19758,0.16381,0.07548,0.90866,6.95237,2.0637,0.00153975,0.00153975,0.00153975
6,44.5241,0.7104,3.16799,1.271,0.37463,0.32196,0.28457,0.16013,0.95558,6.35079,1.71065,0.00150793,0.00150793,0.00150793
7,50.6223,0.69279,2.94682,1.28312,0.33813,0.3446,0.22594,0.11695,0.89441,5.52939,1.5565,0.00147612,0.00147612,0.00147612
8,55.8826,0.66743,2.79343,1.25827,0.3925,0.34864,0.26316,0.16168,0.83107,4.978,1.53731,0.00144431,0.00144431,0.00144431
9,61.2608,0.69372,2.4182,1.24267,0.49628,0.53505,0.42574,0.2645,0.80744,4.1074,1.53586,0.00141249,0.00141249,0.00141249
10,66.5405,0.75262,2.2821,1.25393,0.49977,0.58952,0.50611,0.34918,0.71987,3.8338,1.35186,0.00138068,0.00138068,0.00138068
11,71.8058,0.65777,2.03647,1.21278,0.52503,0.51486,0.52503,0.35099,0.69865,3.24332,1.40587,0.00134887,0.00134887,0.00134887
12,77.0563,0.66846,1.87346,1.19936,0.66813,0.55442,0.56449,0.38267,0.77668,2.97558,1.48397,0.00131705,0.00131705,0.00131705
13,82.2889,0.66601,1.83447,1.20535,0.48562,0.60794,0.50138,0.37199,0.69654,2.9577,1.38169,0.00128524,0.00128524,0.00128524
14,87.8178,0.66637,1.7034,1.20802,0.58398,0.55157,0.58294,0.41362,0.73062,2.3961,1.40813,0.00125343,0.00125343,0.00125343
15,93.3129,0.63777,1.52612,1.18533,0.58323,0.63764,0.65373,0.47927,0.71884,2.1408,1.32556,0.00122161,0.00122161,0.00122161
16,98.5272,0.65321,1.47788,1.20333,0.65933,0.65936,0.67663,0.4988,0.65828,1.96577,1.32041,0.0011898,0.0011898,0.0011898
17,103.715,0.65578,1.43313,1.18674,0.6339,0.67655,0.62782,0.44079,0.69022,2.25037,1.37331,0.00115799,0.00115799,0.00115799
18,108.99,0.62717,1.35971,1.1995,0.68316,0.60923,0.67292,0.4953,0.65191,1.82882,1.26871,0.00112618,0.00112618,0.00112618
19,114.204,0.60784,1.27583,1.15495,0.62197,0.49838,0.57457,0.39339,0.67084,2.15505,1.36344,0.00109436,0.00109436,0.00109436
20,119.536,0.5867,1.20639,1.13422,0.62727,0.61853,0.64441,0.5107,0.59284,1.83183,1.25666,0.00106255,0.00106255,0.00106255
21,125.101,0.57656,1.09244,1.11935,0.61471,0.58592,0.62441,0.48658,0.59189,1.78049,1.22187,0.00103074,0.00103074,0.00103074
22,130.432,0.55427,1.0486,1.11117,0.66781,0.70347,0.69589,0.50686,0.63446,1.61272,1.30238,0.000998922,0.000998922,0.000998922
23,135.683,0.56348,1.01696,1.14401,0.68025,0.66532,0.74176,0.569,0.64744,1.42953,1.28548,0.000967109,0.000967109,0.000967109
24,141.085,0.56443,1.0009,1.1159,0.82696,0.62968,0.74831,0.60716,0.55207,1.42198,1.16723,0.000935296,0.000935296,0.000935296
25,146.373,0.55642,0.96141,1.1028,0.74857,0.65716,0.71952,0.56563,0.57542,1.42025,1.21353,0.000903483,0.000903483,0.000903483
26,151.826,0.57603,0.97049,1.10682,0.74393,0.7628,0.75731,0.57448,0.61438,1.28758,1.22176,0.00087167,0.00087167,0.00087167
27,157.391,0.54904,0.93278,1.08961,0.79479,0.72895,0.77143,0.62755,0.54728,1.24653,1.18885,0.000839856,0.000839856,0.000839856
28,162.632,0.55545,0.93028,1.09509,0.74731,0.66499,0.73889,0.58539,0.59236,1.30166,1.18943,0.000808043,0.000808043,0.000808043
29,167.855,0.53538,0.8934,1.10921,0.73837,0.69612,0.74138,0.60614,0.53208,1.30775,1.13759,0.00077623,0.00077623,0.00077623
30,173.085,0.49304,0.82645,1.06117,0.77664,0.68168,0.78202,0.63244,0.55542,1.10083,1.15894,0.000744417,0.000744417,0.000744417
31,178.356,0.49597,0.77804,1.07526,0.77659,0.74401,0.78642,0.63553,0.53365,1.08202,1.10998,0.000712603,0.000712603,0.000712603
32,183.721,0.50446,0.8841,1.07946,0.80288,0.73301,0.79705,0.67832,0.476,1.07275,1.05195,0.00068079,0.00068079,0.00068079
33,189.007,0.49176,0.77657,1.096,0.73363,0.77899,0.79415,0.68126,0.4864,1.09237,1.05947,0.000648977,0.000648977,0.000648977
34,194.242,0.48493,0.76803,1.06413,0.79948,0.68449,0.77793,0.65462,0.50814,1.10785,1.07623,0.000617164,0.000617164,0.000617164
35,199.773,0.48237,0.71136,1.05894,0.84689,0.71802,0.79207,0.67909,0.46744,1.09224,1.04326,0.000585351,0.000585351,0.000585351
36,205.003,0.48048,0.68071,1.06076,0.84967,0.70037,0.79434,0.68017,0.4858,1.04008,1.07918,0.000553537,0.000553537,0.000553537
37,210.212,0.46878,0.69181,1.05937,0.78544,0.77235,0.80206,0.67988,0.48814,1.06433,1.06406,0.000521724,0.000521724,0.000521724
38,215.386,0.4543,0.69242,1.02518,0.79363,0.71185,0.79288,0.6699,0.51485,1.0422,1.10024,0.000489911,0.000489911,0.000489911
39,221.035,0.43917,0.65489,1.02821,0.793,0.70378,0.80876,0.69486,0.49402,0.98675,1.08146,0.000458098,0.000458098,0.000458098
40,226.436,0.43915,0.66058,1.04794,0.78435,0.77512,0.8089,0.69735,0.48965,1.01814,1.06836,0.000426284,0.000426284,0.000426284
41,233.668,0.35779,0.58567,0.95427,0.83745,0.69658,0.79742,0.67612,0.50665,1.1167,1.10529,0.000394471,0.000394471,0.000394471
42,238.884,0.37723,0.5683,0.98068,0.75817,0.7745,0.79144,0.66998,0.49768,1.12315,1.08491,0.000362658,0.000362658,0.000362658
43,244.079,0.35281,0.55769,0.97092,0.81101,0.73269,0.79985,0.68443,0.50197,1.03357,1.08653,0.000330845,0.000330845,0.000330845
44,249.257,0.31999,0.54675,0.92943,0.80626,0.76751,0.81441,0.70119,0.49108,0.92944,1.07464,0.000299032,0.000299032,0.000299032
45,254.404,0.32941,0.4848,0.93301,0.81075,0.78773,0.82223,0.71173,0.48255,0.88967,1.07605,0.000267218,0.000267218,0.000267218
46,259.628,0.31228,0.46877,0.93236,0.85155,0.76036,0.82566,0.71405,0.47241,0.92223,1.06982,0.000235405,0.000235405,0.000235405
47,264.859,0.31612,0.44786,0.91729,0.83465,0.75682,0.82073,0.70791,0.46631,0.96727,1.06278,0.000203592,0.000203592,0.000203592
48,270.118,0.30365,0.46278,0.93469,0.82172,0.76644,0.81568,0.70022,0.45485,1.02061,1.05795,0.000171779,0.000171779,0.000171779
49,275.805,0.29446,0.44402,0.90967,0.82829,0.78257,0.81717,0.70516,0.46181,0.98126,1.0611,0.000139966,0.000139966,0.000139966
50,281.014,0.30354,0.44512,0.91173,0.8222,0.74659,0.81602,0.70698,0.46158,0.98371,1.05808,0.000108152,0.000108152,0.000108152
