epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8357,0.57208,2.49576,1.14902,0.54515,0.41881,0.48809,0.40777,0.45346,2.905,1.04775,0.0003334,0.0003334,0.0003334
2,9.04676,0.60323,1.75517,1.1888,0.7238,0.48128,0.62517,0.4798,0.56257,2.44057,1.1808,0.000669869,0.000669869,0.000669869
3,13.0689,0.61945,1.56295,1.19768,0.71896,0.72918,0.7603,0.56911,0.58833,2.2895,1.24027,0.000992405,0.000992405,0.000992405
4,17.0563,0.65445,1.49902,1.21099,0.65996,0.61646,0.66171,0.45137,0.85501,2.16482,1.49857,0.00130101,0.00130101,0.00130101
5,20.916,0.7009,1.55858,1.24388,0.51048,0.52651,0.48359,0.32345,0.82774,2.52185,1.54443,0.00153431,0.00153431,0.00153431
6,24.8244,0.71088,1.46878,1.27752,0.53454,0.68323,0.62461,0.38981,0.81912,2.58648,1.43202,0.00150113,0.00150113,0.00150113
7,28.7822,0.71407,1.36304,1.25759,0.65999,0.61115,0.67656,0.47022,0.71546,2.29086,1.32665,0.00146796,0.00146796,0.00146796
8,32.6519,0.67085,1.28432,1.22257,0.65592,0.72266,0.69153,0.46593,0.74808,2.16924,1.32649,0.00143479,0.00143479,0.00143479
9,36.6272,0.65241,1.22468,1.19923,0.7742,0.53044,0.67294,0.46867,0.76948,2.55073,1.39793,0.00140161,0.00140161,0.00140161
10,40.6007,0.62417,1.19392,1.18121,0.6333,0.66084,0.64043,0.39753,0.91757,1.85251,1.6794,0.00136844,0.00136844,0.00136844
11,44.465,0.62489,1.07033,1.17049,0.61475,0.77639,0.71702,0.48615,0.85227,1.75099,1.5001,0.00133527,0.00133527,0.00133527
12,48.3741,0.61095,1.00519,1.16159,0.85006,0.7661,0.8277,0.61504,0.69977,1.35593,1.24401,0.00130209,0.00130209,0.00130209
13,52.3309,0.60013,1.04485,1.14448,0.8494,0.81797,0.83461,0.6251,0.62629,1.23036,1.21625,0.00126892,0.00126892,0.00126892
14,56.2278,0.58712,0.98621,1.13884,0.84596,0.71701,0.82366,0.6722,0.57838,1.27842,1.15445,0.00123575,0.00123575,0.00123575
15,60.1042,0.62131,0.998,1.14967,0.76926,0.76855,0.83246,0.61277,0.59139,1.21108,1.16337,0.00120257,0.00120257,0.00120257
16,63.9665,0.59766,0.97226,1.1653,0.73793,0.81027,0.81667,0.62344,0.67908,1.27828,1.25495,0.0011694,0.0011694,0.0011694
17,67.8708,0.55184,0.94103,1.12521,0.80739,0.7881,0.82353,0.65916,0.56971,1.18617,1.14053,0.00113623,0.00113623,0.00113623
18,72.0462,0.56852,0.90849,1.1356,0.84519,0.703,0.75969,0.6318,0.52562,1.20958,1.11519,0.00110305,0.00110305,0.00110305
19,76.2038,0.55967,0.87821,1.11399,0.75332,0.81772,0.82993,0.68876,0.55542,1.08395,1.1351,0.00106988,0.00106988,0.00106988
20,80.108,0.53262,0.84816,1.10995,0.80191,0.77623,0.83445,0.65412,0.56343,1.07031,1.14462,0.00103671,0.00103671,0.00103671
21,83.9465,0.5436,0.81003,1.12613,0.88596,0.80126,0.88207,0.73382,0.48598,0.98268,1.05876,0.00100353,0.00100353,0.00100353
22,87.8756,0.52766,0.7796,1.09443,0.89854,0.81774,0.88214,0.74691,0.46928,0.90651,1.04636,0.000970361,0.000970361,0.000970361
23,92.5366,0.51223,0.77001,1.0976,0.89615,0.77308,0.88401,0.73615,0.49134,0.94269,1.07096,0.000937187,0.000937187,0.000937187
24,96.4276,0.49601,0.74474,1.07108,0.88705,0.78456,0.88153,0.72663,0.5488,0.91268,1.14087,0.000904014,0.000904014,0.000904014
25,100.29,0.4843,0.72472,1.07059,0.7316,0.84112,0.86795,0.71,0.49618,0.99231,1.09386,0.000870841,0.000870841,0.000870841
26,104.118,0.47562,0.72638,1.04703,0.79566,0.83206,0.8594,0.68511,0.54021,1.04011,1.16207,0.000837667,0.000837667,0.000837667
27,108.001,0.47452,0.70729,1.05399,0.90893,0.81167,0.89755,0.75762,0.49539,0.84586,1.06982,0.000804494,0.000804494,0.000804494
28,111.877,0.49605,0.70314,1.07555,0.84867,0.81292,0.9043,0.77383,0.4888,0.825,1.04706,0.000771321,0.000771321,0.000771321
29,115.813,0.46188,0.68347,1.05268,0.93662,0.82239,0.91413,0.7768,0.50445,0.83787,1.07613,0.000738148,0.000738148,0.000738148
30,119.637,0.45515,0.63121,1.02585,0.85061,0.87628,0.91276,0.78368,0.44329,0.80441,1.00863,0.000704974,0.000704974,0.000704974
31,123.577,0.47511,0.65866,1.04292,0.83608,0.83682,0.91194,0.78634,0.45577,0.78769,1.01582,0.000671801,0.000671801,0.000671801
32,127.526,0.43095,0.61506,1.01923,0.87195,0.81265,0.89549,0.78225,0.43989,0.85248,1.02467,0.000638628,0.000638628,0.000638628
33,131.442,0.44463,0.61826,1.02562,0.87224,0.86396,0.90959,0.79137,0.42817,0.74991,0.98895,0.000605454,0.000605454,0.000605454
34,135.427,0.44694,0.61286,1.05086,0.86504,0.83333,0.8811,0.76375,0.46754,0.87555,1.02717,0.000572281,0.000572281,0.000572281
35,139.622,0.42279,0.59073,1.00182,0.89446,0.83813,0.89227,0.77494,0.4181,0.81965,0.98871,0.000539108,0.000539108,0.000539108
36,143.794,0.42595,0.58949,1.01459,0.87436,0.84482,0.90343,0.79406,0.42262,0.82598,1.00639,0.000505935,0.000505935,0.000505935
37,147.695,0.41579,0.57563,1.02691,0.86059,0.87051,0.90315,0.78577,0.41468,0.83242,0.98238,0.000472761,0.000472761,0.000472761
38,151.583,0.4063,0.5572,1.0078,0.87486,0.84186,0.91014,0.78914,0.42563,0.76863,1.01273,0.000439588,0.000439588,0.000439588
39,155.507,0.41416,0.57486,1.0088,0.87743,0.85951,0.93193,0.81635,0.42211,0.74614,0.99048,0.000406415,0.000406415,0.000406415
40,159.455,0.42407,0.56349,1.02991,0.86834,0.86465,0.91519,0.77778,0.45617,0.77434,1.02249,0.000373241,0.000373241,0.000373241
41,165.471,0.34073,0.4994,0.94043,0.914,0.82883,0.92305,0.79669,0.42796,0.74875,0.993,0.000340068,0.000340068,0.000340068
42,169.374,0.3423,0.45764,0.95022,0.89731,0.86098,0.93399,0.80837,0.39275,0.6987,0.9577,0.000306895,0.000306895,0.000306895
43,173.287,0.31914,0.44694,0.90513,0.83937,0.89656,0.93978,0.82273,0.38954,0.66293,0.9601,0.000273721,0.000273721,0.000273721
44,177.284,0.31438,0.42965,0.91908,0.87476,0.91132,0.93363,0.81453,0.39257,0.61021,0.97593,0.000240548,0.000240548,0.000240548
45,181.194,0.29736,0.38173,0.90722,0.88475,0.85107,0.92098,0.80409,0.38848,0.61709,0.97394,0.000207375,0.000207375,0.000207375
46,185.052,0.28796,0.39562,0.89315,0.89793,0.86985,0.91813,0.80152,0.3959,0.61692,0.98264,0.000174201,0.000174201,0.000174201
47,188.817,0.28906,0.38315,0.89258,0.90233,0.91555,0.92221,0.8017,0.40303,0.63602,0.98467,0.000141028,0.000141028,0.000141028
48,192.729,0.2842,0.38959,0.899,0.87322,0.90829,0.93474,0.82312,0.39506,0.64828,0.98265,0.000107855,0.000107855,0.000107855
49,196.624,0.27302,0.36045,0.87751,0.86406,0.90829,0.9369,0.83124,0.38603,0.65418,0.97562,7.46816e-05,7.46816e-05,7.46816e-05
50,200.54,0.28437,0.37842,0.8929,0.86228,0.90392,0.93519,0.82639,0.38858,0.65998,0.97933,4.15083e-05,4.15083e-05,4.15083e-05
