epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53736,0.4378,4.95017,0.00957,0.00421,0.86747,0.28585,0.2206,0.32024,7.50797,0.00878,0.0003334,0.0003334,0.0003334
2,10.7945,0.45673,4.42925,0.00991,0.00398,0.8494,0.32903,0.27667,0.38295,7.26532,0.01026,0.000670484,0.000670484,0.000670484
3,15.9732,0.49234,3.9017,0.01194,0.65208,0.04496,0.36497,0.22768,0.56188,7.16043,0.01827,0.000994265,0.000994265,0.000994265
4,21.0593,0.53189,3.32832,0.01223,0.58777,0.46574,0.57932,0.43873,0.57333,6.03192,0.01815,0.00130474,0.00130474,0.00130474
5,26.8887,0.57729,3.17569,0.01377,0.63564,0.53708,0.58635,0.384,0.65179,5.5326,0.02285,0.00154031,0.00154031,0.00154031
6,31.9377,0.54832,2.6672,0.01245,0.55722,0.65678,0.6131,0.46049,0.63397,4.73296,0.02053,0.00150864,0.00150864,0.00150864
7,37.0216,0.53905,2.6166,0.01388,0.68773,0.56287,0.63293,0.44833,0.6801,4.43179,0.02291,0.00147696,0.00147696,0.00147696
8,42.1136,0.54173,2.44448,0.01406,0.6341,0.61235,0.64881,0.45431,0.72437,3.83191,0.0236,0.00144529,0.00144529,0.00144529
9,47.1673,0.55184,2.14409,0.01332,0.70682,0.68133,0.70599,0.53807,0.59115,3.25144,0.01928,0.00141362,0.00141362,0.00141362
10,52.2687,0.52555,1.91012,0.01309,0.67834,0.67018,0.71199,0.53719,0.62071,2.97986,0.02099,0.00138194,0.00138194,0.00138194
11,57.4962,0.53418,1.7782,0.01206,0.80899,0.68404,0.79207,0.63242,0.58792,2.5183,0.01853,0.00135027,0.00135027,0.00135027
12,62.9782,0.53949,1.76702,0.01338,0.79781,0.67872,0.80105,0.60762,0.64746,2.33339,0.02023,0.0013186,0.0013186,0.0013186
13,68.0316,0.51351,1.53989,0.0122,0.75671,0.68916,0.76317,0.57635,0.61889,2.28059,0.02051,0.00128692,0.00128692,0.00128692
14,73.0896,0.49138,1.43431,0.01195,0.78005,0.71801,0.79926,0.63971,0.59497,1.92096,0.01855,0.00125525,0.00125525,0.00125525
15,78.4596,0.50025,1.30523,0.01229,0.82156,0.63749,0.77846,0.64235,0.53463,1.92086,0.01682,0.00122358,0.00122358,0.00122358
16,83.5444,0.50484,1.27455,0.01203,0.84704,0.67991,0.75987,0.5907,0.57559,1.92331,0.01939,0.00119191,0.00119191,0.00119191
17,88.6119,0.49207,1.21172,0.01172,0.78293,0.73198,0.7909,0.62291,0.5501,1.75267,0.01715,0.00116023,0.00116023,0.00116023
18,93.6262,0.47846,1.09306,0.01115,0.83419,0.70456,0.84473,0.66331,0.60795,1.40062,0.01906,0.00112856,0.00112856,0.00112856
19,98.674,0.4613,1.00511,0.01083,0.79124,0.73089,0.82914,0.62908,0.66501,1.38036,0.02174,0.00109689,0.00109689,0.00109689
20,103.784,0.47731,0.95167,0.01143,0.84494,0.68313,0.80187,0.59182,0.63601,1.503,0.02255,0.00106521,0.00106521,0.00106521
21,108.829,0.46015,0.93039,0.011,0.82502,0.78149,0.84426,0.62865,0.59843,1.30324,0.02021,0.00103354,0.00103354,0.00103354
22,113.912,0.4557,0.91949,0.01127,0.80963,0.73261,0.83594,0.6173,0.59582,1.41232,0.02043,0.00100187,0.00100187,0.00100187
23,118.939,0.44188,0.91236,0.01067,0.77558,0.73722,0.8183,0.6614,0.52431,1.29468,0.0159,0.000970194,0.000970194,0.000970194
24,124.259,0.43715,0.86994,0.01095,0.88544,0.76368,0.84683,0.69159,0.53907,1.18733,0.01585,0.000938521,0.000938521,0.000938521
25,129.752,0.43385,0.84476,0.01004,0.83687,0.77907,0.85669,0.68451,0.57567,1.0813,0.01897,0.000906848,0.000906848,0.000906848
26,134.826,0.44648,0.82826,0.01082,0.86262,0.73645,0.85496,0.69249,0.51865,1.06276,0.01592,0.000875175,0.000875175,0.000875175
27,140.226,0.41407,0.76471,0.00913,0.83416,0.79157,0.86807,0.7067,0.52926,1.05156,0.01558,0.000843502,0.000843502,0.000843502
28,145.305,0.43004,0.76831,0.01023,0.84001,0.84771,0.88782,0.72685,0.48178,0.97874,0.01492,0.000811829,0.000811829,0.000811829
29,150.398,0.42172,0.73661,0.00972,0.78763,0.82326,0.87128,0.70008,0.54665,1.03792,0.01641,0.000780156,0.000780156,0.000780156
30,155.387,0.42368,0.72936,0.01023,0.842,0.82259,0.86046,0.71329,0.48208,0.97528,0.01403,0.000748483,0.000748483,0.000748483
31,160.55,0.40753,0.63649,0.00934,0.86909,0.84609,0.86996,0.70537,0.52718,0.96154,0.01571,0.00071681,0.00071681,0.00071681
32,165.606,0.41337,0.70677,0.01005,0.83978,0.86054,0.87388,0.71055,0.54185,0.90374,0.01528,0.000685137,0.000685137,0.000685137
33,170.723,0.40409,0.61752,0.00948,0.86123,0.78461,0.86475,0.71595,0.50367,0.94246,0.0136,0.000653464,0.000653464,0.000653464
34,175.729,0.38098,0.61986,0.00891,0.8804,0.82119,0.86958,0.73517,0.46556,0.93041,0.01284,0.000621791,0.000621791,0.000621791
35,180.85,0.38965,0.56934,0.00941,0.80894,0.79196,0.84891,0.71357,0.44543,1.03279,0.01291,0.000590118,0.000590118,0.000590118
36,186.248,0.38202,0.54859,0.00929,0.78757,0.84513,0.85164,0.7208,0.47327,0.97309,0.0136,0.000558445,0.000558445,0.000558445
37,191.59,0.37814,0.62126,0.00909,0.83422,0.8405,0.86687,0.71493,0.47384,0.92228,0.01391,0.000526772,0.000526772,0.000526772
38,196.843,0.34754,0.51058,0.00793,0.81286,0.86267,0.87075,0.75185,0.45412,0.85991,0.01348,0.000495099,0.000495099,0.000495099
39,201.939,0.37649,0.553,0.00862,0.8389,0.83599,0.87084,0.74212,0.43382,0.95269,0.01359,0.000463426,0.000463426,0.000463426
40,207.024,0.3472,0.53308,0.00841,0.87242,0.81584,0.86289,0.74015,0.43662,0.96123,0.01288,0.000431753,0.000431753,0.000431753
41,214.286,0.31279,0.62051,0.00963,0.8828,0.7494,0.83975,0.71099,0.46967,1.05103,0.01427,0.00040008,0.00040008,0.00040008
42,219.335,0.30833,0.45964,0.00849,0.82918,0.77101,0.8451,0.71423,0.46363,1.02627,0.01383,0.000368407,0.000368407,0.000368407
43,224.291,0.27495,0.42966,0.00794,0.87208,0.79487,0.86009,0.72612,0.43926,1.00755,0.01367,0.000336734,0.000336734,0.000336734
44,229.297,0.2629,0.45125,0.00764,0.89029,0.73932,0.84914,0.7122,0.44226,1.01155,0.01307,0.000305061,0.000305061,0.000305061
45,234.261,0.28826,0.43035,0.00824,0.86512,0.80818,0.86295,0.72487,0.459,0.98643,0.01342,0.000273388,0.000273388,0.000273388
46,239.711,0.2842,0.41935,0.00858,0.87594,0.76636,0.8541,0.71048,0.4674,1.00392,0.01417,0.000241715,0.000241715,0.000241715
47,244.694,0.2854,0.42147,0.00773,0.80348,0.81769,0.8498,0.72457,0.43243,1.01762,0.01299,0.000210042,0.000210042,0.000210042
48,249.689,0.26848,0.40277,0.0075,0.8585,0.77971,0.84963,0.72526,0.44763,0.97656,0.01343,0.000178369,0.000178369,0.000178369
49,254.702,0.24653,0.39994,0.00687,0.88235,0.79849,0.85435,0.71904,0.43552,0.9633,0.0126,0.000146696,0.000146696,0.000146696
50,260.091,0.24404,0.37325,0.0064,0.89655,0.78874,0.85742,0.74315,0.42528,0.95121,0.01227,0.000115023,0.000115023,0.000115023
