epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6101,0.51903,8.9409,0.72291,0.5067,0.72612,0.5773,0.52511,0.17223,0.89027,0.23962,0.00054889,0.00054889,0.00054889
2,69.1122,0.23568,0.7505,0.28861,0.58156,0.61502,0.62579,0.51901,0.20038,0.90575,0.31522,0.00108318,0.00108318,0.00108318
3,102.041,0.26871,0.83474,0.37126,0.43825,0.65354,0.49829,0.36961,0.31277,0.93337,0.54351,0.00159597,0.00159597,0.00159597
4,135.002,0.25747,0.77861,0.3366,0.55115,0.70493,0.65646,0.47372,0.39521,0.78044,0.68202,0.00157022,0.00157022,0.00157022
5,168.37,0.25071,0.67035,0.33356,0.6775,0.72746,0.72627,0.58136,0.28773,0.63506,0.44496,0.00153796,0.00153796,0.00153796
6,201.535,0.24631,0.68843,0.30924,0.4727,0.64445,0.51301,0.35277,0.431,0.82001,0.66782,0.0015057,0.0015057,0.0015057
7,234.461,0.24907,0.71731,0.31947,0.69568,0.683,0.74954,0.60353,0.24926,0.59894,0.38529,0.00147344,0.00147344,0.00147344
8,267.742,0.25769,0.59881,0.32993,0.74484,0.70951,0.72693,0.57475,0.29185,0.60608,0.46884,0.00144118,0.00144118,0.00144118
9,300.8,0.23969,0.55521,0.31558,0.6837,0.63801,0.72323,0.59732,0.26184,0.69497,0.38064,0.00140892,0.00140892,0.00140892
10,333.969,0.21932,0.57483,0.27918,0.75085,0.76599,0.80865,0.65183,0.24068,0.62965,0.38466,0.00137666,0.00137666,0.00137666
11,367.203,0.20006,0.51886,0.25556,0.82964,0.7159,0.81493,0.65228,0.24334,0.56663,0.34678,0.0013444,0.0013444,0.0013444
12,400.525,0.23767,0.62408,0.30746,0.75413,0.70802,0.77163,0.63531,0.2299,0.66629,0.3216,0.00131214,0.00131214,0.00131214
13,433.389,0.22113,0.49493,0.25451,0.83933,0.7763,0.85191,0.68461,0.22945,0.52907,0.36812,0.00127988,0.00127988,0.00127988
14,466.762,0.2072,0.51991,0.23858,0.64022,0.7928,0.73378,0.60212,0.21247,0.90369,0.35454,0.00124762,0.00124762,0.00124762
15,499.504,0.19686,0.51676,0.25148,0.74286,0.745,0.80942,0.67138,0.21491,0.5862,0.36696,0.00121536,0.00121536,0.00121536
16,532.22,0.1862,0.53168,0.21888,0.81293,0.65199,0.77262,0.63697,0.22357,0.5694,0.35128,0.0011831,0.0011831,0.0011831
17,565.13,0.19069,0.49036,0.2456,0.76704,0.70565,0.79362,0.66261,0.22148,0.57772,0.35714,0.00115084,0.00115084,0.00115084
