Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.7916,0.7742,0.8248,0.7192
PSO,0.011695180169586336,0.045794289887562886,0.9170036815103272,0.005062897337460262,0.8673659084270202,5.341147454253909,0.8681572595077768,0.7691165535415657,0.8546406429979271,0.7395912570622271
GWO,0.008936833076237822,0.026614506953169314,0.98,0.003227815420474445,0.9507868343935755,7.134701802789777,0.8180975647588575,0.7902865138109394,0.843663337723054,0.7356072430932749
WOA,0.023953250459684203,0.016474083394742507,0.8651412149526183,0.0021820661145146914,0.816538624351119,5.366465853727164,0.8293876867765345,0.7794444000131757,0.8468299855953869,0.7445976286692702
ACO,0.005928209763237491,0.028887952031887845,0.9460133532685814,0.0019006434668146538,0.943574536345769,9.409911536551665,0.8521550827746737,0.7868053496608025,0.8565501215158292,0.7455953933325269
