Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.8742,0.8118,0.883,0.7974
GWO,0.010443547498391778,0.03239727424231248,0.85,0.0047591537771184585,0.0,6.351769286662986,0.866864591003625,0.7956085161901425,0.870968402256574,0.7651242349432152
