Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.8742,0.8118,0.883,0.7974
PSO,0.0127456278534528,0.0083434334045227,0.9260237716119633,0.0007186189969741,0.0,7.328206198816574,0.8816398462971835,0.8063632527190242,0.8905314310348942,0.8004243293851493
GWO,0.0104435474983917,0.0323972742423124,0.85,0.0047591537771184,0.0,6.351769286662986,0.866864591003625,0.7956085161901425,0.870968402256574,0.7651242349432152
WOA,0.0155240687242814,0.0478533195600779,0.850841285458462,0.0058133154837682,0.0,6.891485465158228,0.891048682986067,0.7805068907481154,0.8675967428165757,0.7656296837410239
ACO,0.0098682868328306,0.0299868519982147,0.8821254657471874,0.0037368813336928,0.0,5.500729486682667,0.8128407683428941,0.7574406449088606,0.8305444940584696,0.7167685776034626
