epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48105,0.89578,5.71483,0.01057,0.00393,0.91968,0.26466,0.22109,0.574,8.25469,0.00822,0.0003334,0.0003334,0.0003334
2,10.6741,0.91882,4.90545,0.01111,0.0039,0.92714,0.32663,0.28117,0.64526,7.93266,0.00935,0.000670417,0.000670417,0.000670417
3,15.9939,1.04932,4.45272,0.01311,0.41921,0.35114,0.37653,0.28123,0.97292,7.79428,0.01565,0.000994063,0.000994063,0.000994063
4,21.6897,1.15667,3.96764,0.0146,0.54494,0.39664,0.50572,0.3994,1.07994,6.83298,0.01794,0.00130434,0.00130434,0.00130434
5,27.5868,1.12185,3.53844,0.0141,0.67327,0.60947,0.66885,0.52027,1.0648,5.67508,0.01862,0.00153965,0.00153965,0.00153965
6,32.7091,1.16563,3.04997,0.01442,0.62634,0.66029,0.68449,0.52797,1.02223,4.8477,0.01792,0.00150782,0.00150782,0.00150782
7,37.7366,1.19141,2.8115,0.0154,0.62649,0.674,0.69332,0.53719,1.05022,4.24252,0.01814,0.00147598,0.00147598,0.00147598
8,42.9346,1.17049,2.51194,0.01397,0.59441,0.63767,0.63925,0.46351,1.19431,3.89411,0.02165,0.00144414,0.00144414,0.00144414
9,48.0613,1.18586,2.40887,0.01591,0.6428,0.73586,0.7299,0.57878,1.13892,3.23811,0.0208,0.00141231,0.00141231,0.00141231
10,53.1809,1.17488,2.18029,0.01505,0.80419,0.58543,0.7515,0.60155,1.06275,2.85071,0.01827,0.00138047,0.00138047,0.00138047
11,58.2717,1.14231,2.01713,0.01491,0.7384,0.67902,0.76715,0.61567,0.98174,2.40714,0.01695,0.00134863,0.00134863,0.00134863
12,63.4041,1.14657,1.82163,0.01458,0.8193,0.71406,0.80324,0.62143,1.22066,2.18764,0.02119,0.0013168,0.0013168,0.0013168
13,68.505,1.11149,1.62691,0.01302,0.72806,0.68742,0.75949,0.62648,0.99075,2.05805,0.01633,0.00128496,0.00128496,0.00128496
14,73.6191,1.02866,1.49197,0.01187,0.74854,0.76787,0.82542,0.69105,0.94172,1.87325,0.01519,0.00125312,0.00125312,0.00125312
15,78.6729,1.05719,1.39674,0.01212,0.82325,0.78322,0.85044,0.69592,0.99331,1.67279,0.01849,0.00122129,0.00122129,0.00122129
16,84.3694,0.96702,1.28139,0.01176,0.83461,0.80545,0.87022,0.71838,0.86799,1.55685,0.01507,0.00118945,0.00118945,0.00118945
17,89.8195,1.02113,1.30977,0.01246,0.86453,0.77003,0.87543,0.70937,0.9921,1.42555,0.01644,0.00115761,0.00115761,0.00115761
18,94.8667,1.01544,1.25045,0.01206,0.79653,0.77985,0.8423,0.70652,0.8564,1.43103,0.01348,0.00112578,0.00112578,0.00112578
19,99.8497,1.01714,1.15228,0.01253,0.79633,0.82011,0.87264,0.70642,0.91823,1.30652,0.01559,0.00109394,0.00109394,0.00109394
20,104.891,0.9625,1.05536,0.01173,0.87268,0.79404,0.89614,0.72415,0.92074,1.2217,0.01598,0.0010621,0.0010621,0.0010621
21,109.936,0.95802,0.99397,0.01137,0.82376,0.80595,0.86741,0.72463,0.91001,1.20763,0.01548,0.00103027,0.00103027,0.00103027
22,115.008,0.99521,1.03102,0.01151,0.81691,0.76818,0.84529,0.73493,0.79067,1.1953,0.01279,0.000998431,0.000998431,0.000998431
23,120.112,0.95403,1.00082,0.01213,0.84987,0.79963,0.85913,0.69681,0.9517,1.21949,0.01634,0.000966595,0.000966595,0.000966595
24,125.11,0.93713,0.90635,0.01107,0.77974,0.75922,0.84962,0.73571,0.84582,1.07924,0.01366,0.000934758,0.000934758,0.000934758
25,130.212,0.93008,0.87813,0.01053,0.75855,0.82011,0.84767,0.71839,0.85159,1.13578,0.01418,0.000902922,0.000902922,0.000902922
26,135.291,0.88608,0.85611,0.01104,0.84295,0.8166,0.8865,0.76702,0.78696,0.98176,0.01224,0.000871085,0.000871085,0.000871085
27,140.672,0.88415,0.80286,0.01002,0.78147,0.85485,0.86349,0.74985,0.80449,0.97326,0.01299,0.000839248,0.000839248,0.000839248
28,145.649,0.89517,0.78056,0.01111,0.8186,0.79796,0.82969,0.73883,0.75952,1.20235,0.01114,0.000807412,0.000807412,0.000807412
29,150.896,0.84555,0.74021,0.00988,0.84565,0.79588,0.86959,0.75107,0.787,1.00873,0.01243,0.000775575,0.000775575,0.000775575
30,156.346,0.83956,0.75376,0.00963,0.79551,0.80254,0.84058,0.73057,0.81756,0.97839,0.01279,0.000743739,0.000743739,0.000743739
31,161.457,0.81926,0.68866,0.00964,0.84721,0.78451,0.85916,0.75731,0.71679,0.94607,0.01155,0.000711902,0.000711902,0.000711902
32,166.526,0.78184,0.73916,0.00833,0.84666,0.81834,0.8942,0.79743,0.68699,0.848,0.01066,0.000680065,0.000680065,0.000680065
33,171.678,0.82107,0.66021,0.00899,0.85178,0.89181,0.88988,0.77786,0.74733,0.808,0.01202,0.000648229,0.000648229,0.000648229
34,176.671,0.81115,0.6623,0.00892,0.88386,0.78456,0.89497,0.78355,0.73593,0.87116,0.01199,0.000616392,0.000616392,0.000616392
35,181.777,0.83224,0.66082,0.00946,0.80749,0.8315,0.88085,0.77279,0.67189,0.86097,0.01037,0.000584556,0.000584556,0.000584556
36,186.82,0.72362,0.62932,0.0089,0.79908,0.82131,0.84386,0.74451,0.74059,0.98269,0.01192,0.000552719,0.000552719,0.000552719
37,191.834,0.78262,0.61681,0.0094,0.80971,0.80545,0.86003,0.7598,0.69154,0.95023,0.01064,0.000520883,0.000520883,0.000520883
38,197.103,0.72332,0.59757,0.00859,0.84355,0.76571,0.8556,0.77006,0.62541,0.93105,0.00949,0.000489046,0.000489046,0.000489046
39,202.244,0.76686,0.61733,0.00853,0.88453,0.78482,0.86016,0.75032,0.71744,0.90042,0.01124,0.000457209,0.000457209,0.000457209
40,207.327,0.72333,0.56606,0.00845,0.91342,0.80518,0.87843,0.78436,0.63727,0.8228,0.00922,0.000425373,0.000425373,0.000425373
41,214.544,0.60044,0.52233,0.00831,0.88791,0.83556,0.89188,0.78881,0.6846,0.79433,0.01074,0.000393536,0.000393536,0.000393536
42,220.053,0.59898,0.49257,0.00845,0.86424,0.82513,0.90117,0.79589,0.6872,0.82868,0.01088,0.0003617,0.0003617,0.0003617
43,225.136,0.55836,0.47544,0.00772,0.8764,0.81176,0.878,0.78759,0.66415,0.86972,0.01019,0.000329863,0.000329863,0.000329863
44,230.151,0.55482,0.46733,0.00761,0.92952,0.78456,0.87834,0.78299,0.66053,0.87838,0.0102,0.000298026,0.000298026,0.000298026
45,235.097,0.54189,0.42358,0.00736,0.93628,0.76208,0.8783,0.78949,0.62519,0.82587,0.00943,0.00026619,0.00026619,0.00026619
46,240.069,0.52347,0.4296,0.00726,0.8584,0.84397,0.87473,0.76496,0.73052,0.87161,0.01141,0.000234353,0.000234353,0.000234353
47,245.006,0.53362,0.4176,0.00723,0.88817,0.81265,0.87616,0.76837,0.6841,0.85442,0.01043,0.000202517,0.000202517,0.000202517
