epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80738,0.90222,2.57401,1.14349,0.00497,0.94271,0.45625,0.34428,0.71851,3.14221,0.96795,0.0003334,0.0003334,0.0003334
2,10.4885,0.93761,1.8345,1.17701,0.0049,0.93229,0.47721,0.29446,1.07484,3.04629,1.28015,0.000669925,0.000669925,0.000669925
3,15.1994,1.00373,1.55374,1.22483,0.57441,0.17116,0.23821,0.13146,1.67534,3.13345,1.66369,0.000992576,0.000992576,0.000992576
4,19.8055,1.00658,1.53848,1.19375,0.46136,0.46657,0.40061,0.23005,1.51532,2.85824,1.66229,0.00130135,0.00130135,0.00130135
5,24.4011,1.1035,1.49106,1.25009,0.45342,0.45104,0.4459,0.27933,1.54851,2.74183,1.70114,0.00153486,0.00153486,0.00153486
6,28.9963,1.08649,1.41382,1.25157,0.70009,0.4903,0.5721,0.35144,1.31949,2.47564,1.54941,0.00150182,0.00150182,0.00150182
7,34.5296,1.03548,1.35473,1.22952,0.57737,0.65856,0.65569,0.44674,1.21499,2.05115,1.36968,0.00146879,0.00146879,0.00146879
8,39.2216,0.97903,1.23889,1.20619,0.63182,0.60261,0.56796,0.33926,1.33374,2.29674,1.45284,0.00143575,0.00143575,0.00143575
9,43.8926,1.05671,1.27818,1.22526,0.70018,0.58021,0.63981,0.38564,1.5813,2.25553,1.75713,0.00140271,0.00140271,0.00140271
10,48.5852,0.99671,1.14755,1.19189,0.67555,0.61771,0.63699,0.4439,1.10842,1.93965,1.24633,0.00136968,0.00136968,0.00136968
11,53.1706,1.00166,1.12999,1.19821,0.43931,0.4875,0.39068,0.20151,2.04998,2.58151,2.26812,0.00133664,0.00133664,0.00133664
12,57.8016,0.95294,1.09571,1.15485,0.76237,0.64377,0.69729,0.45916,1.28098,1.92483,1.45035,0.00130361,0.00130361,0.00130361
13,62.4,0.94553,1.06498,1.17419,0.64792,0.68125,0.71131,0.53601,1.08658,1.51056,1.30739,0.00127057,0.00127057,0.00127057
14,67.1501,0.93913,0.9967,1.17326,0.63327,0.65279,0.6268,0.4368,1.12302,1.82165,1.26561,0.00123754,0.00123754,0.00123754
15,72.2175,0.91733,0.96916,1.14788,0.71273,0.69063,0.70263,0.51461,1.10132,1.55726,1.23084,0.0012045,0.0012045,0.0012045
16,77.0817,0.88427,0.97972,1.14244,0.71867,0.59179,0.66635,0.50341,1.08869,1.60568,1.27131,0.00117147,0.00117147,0.00117147
17,81.7024,0.96605,1.03052,1.17984,0.71001,0.62457,0.7111,0.52346,1.13148,1.47809,1.27711,0.00113843,0.00113843,0.00113843
18,86.3178,0.86572,0.94732,1.13334,0.74157,0.74296,0.74434,0.53948,1.15813,1.36052,1.28734,0.00110539,0.00110539,0.00110539
19,90.8684,0.8552,0.93086,1.12716,0.61916,0.58333,0.62915,0.46196,1.06784,1.72187,1.2213,0.00107236,0.00107236,0.00107236
20,95.5586,0.84076,0.85998,1.11227,0.72313,0.72059,0.7471,0.57826,0.97486,1.30298,1.16676,0.00103932,0.00103932,0.00103932
21,100.072,0.80882,0.79546,1.10547,0.6585,0.78038,0.78424,0.58004,1.10035,1.25994,1.26841,0.00100629,0.00100629,0.00100629
22,104.675,0.81344,0.83853,1.1037,0.71852,0.77917,0.78558,0.59409,0.98836,1.32398,1.17318,0.000973251,0.000973251,0.000973251
23,109.292,0.81323,0.81018,1.10623,0.68792,0.75833,0.75347,0.56609,1.05308,1.49667,1.23413,0.000940216,0.000940216,0.000940216
24,113.775,0.83341,0.82567,1.12318,0.74374,0.72288,0.77135,0.59939,0.99276,1.37755,1.1896,0.00090718,0.00090718,0.00090718
25,118.365,0.80968,0.78358,1.10625,0.65602,0.81042,0.79358,0.63644,0.90892,1.27269,1.14715,0.000874144,0.000874144,0.000874144
26,123.265,0.75151,0.73091,1.06855,0.85609,0.69092,0.8327,0.67983,0.86471,1.12103,1.11047,0.000841109,0.000841109,0.000841109
27,127.863,0.78779,0.74985,1.08603,0.71718,0.69835,0.7253,0.56552,0.90242,1.29954,1.09748,0.000808073,0.000808073,0.000808073
28,132.44,0.7516,0.74633,1.06455,0.68192,0.79952,0.7899,0.60862,0.91996,1.27976,1.13036,0.000775038,0.000775038,0.000775038
29,137.253,0.74689,0.70644,1.06866,0.76877,0.80199,0.84822,0.65706,0.94592,1.08792,1.16378,0.000742002,0.000742002,0.000742002
30,142.092,0.75272,0.72816,1.05765,0.86657,0.76771,0.85666,0.6741,0.93747,1.02586,1.1835,0.000708966,0.000708966,0.000708966
31,146.849,0.75433,0.71367,1.08003,0.79684,0.82153,0.83613,0.67522,0.90846,1.11525,1.12468,0.000675931,0.000675931,0.000675931
32,151.441,0.72006,0.69783,1.05921,0.87154,0.71024,0.8448,0.64923,0.96041,1.0819,1.17771,0.000642895,0.000642895,0.000642895
33,156.025,0.69233,0.64944,1.05376,0.79655,0.75729,0.82948,0.64443,0.8881,1.09194,1.14261,0.000609859,0.000609859,0.000609859
34,160.49,0.68835,0.65898,1.04303,0.80679,0.77748,0.83714,0.6641,0.88497,0.97896,1.14426,0.000576824,0.000576824,0.000576824
35,164.942,0.66903,0.60701,1.047,0.7577,0.80502,0.85847,0.68104,0.85986,0.97509,1.1277,0.000543788,0.000543788,0.000543788
36,169.537,0.64924,0.59681,1.03596,0.79021,0.75208,0.83181,0.67635,0.8878,1.07043,1.13836,0.000510752,0.000510752,0.000510752
37,173.956,0.70598,0.61502,1.0635,0.82327,0.71458,0.83362,0.6749,0.88715,0.98559,1.13722,0.000477717,0.000477717,0.000477717
38,178.477,0.66732,0.59864,1.02135,0.76638,0.77604,0.84381,0.68296,0.8459,0.9492,1.11759,0.000444681,0.000444681,0.000444681
39,182.951,0.68372,0.58953,1.0498,0.76925,0.79896,0.86714,0.72518,0.78497,0.89458,1.07438,0.000411645,0.000411645,0.000411645
40,187.591,0.64677,0.55521,1.02192,0.75551,0.80167,0.86029,0.70998,0.78717,0.91784,1.06834,0.00037861,0.00037861,0.00037861
41,194.546,0.52798,0.60135,0.96207,0.72291,0.78438,0.81145,0.66711,0.85021,1.15801,1.08794,0.000345574,0.000345574,0.000345574
42,199.093,0.5423,0.57115,0.96826,0.81945,0.73753,0.83764,0.68109,0.86992,1.0547,1.10306,0.000312538,0.000312538,0.000312538
43,204.126,0.51368,0.51015,0.93969,0.78672,0.81127,0.84457,0.70476,0.79343,0.92067,1.07506,0.000279503,0.000279503,0.000279503
44,208.976,0.50781,0.48407,0.92901,0.8209,0.79688,0.8631,0.7213,0.78018,0.88172,1.07,0.000246467,0.000246467,0.000246467
45,213.787,0.48019,0.44707,0.92768,0.79249,0.81673,0.85998,0.72435,0.77733,0.86276,1.07571,0.000213431,0.000213431,0.000213431
46,218.336,0.4798,0.45008,0.91158,0.80851,0.82598,0.86781,0.71948,0.77446,0.83687,1.08166,0.000180396,0.000180396,0.000180396
47,222.841,0.46104,0.42432,0.91569,0.75583,0.8375,0.87438,0.7352,0.76552,0.83153,1.0609,0.00014736,0.00014736,0.00014736
48,227.359,0.44494,0.40969,0.90514,0.77786,0.81667,0.87302,0.74803,0.75666,0.82145,1.04594,0.000114325,0.000114325,0.000114325
49,231.857,0.43757,0.40495,0.90204,0.82718,0.78125,0.86907,0.7423,0.76382,0.83986,1.04168,8.12889e-05,8.12889e-05,8.12889e-05
50,236.387,0.45001,0.40571,0.92868,0.85865,0.76875,0.86729,0.74244,0.76592,0.84983,1.04324,4.82533e-05,4.82533e-05,4.82533e-05
