epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29898,0.89499,2.56698,1.14356,0.00522,0.95312,0.435,0.30853,0.78675,3.18153,1.05471,0.0003334,0.0003334,0.0003334
2,10.0637,0.9106,1.8847,1.16773,0.00546,0.95833,0.52018,0.37191,0.97635,3.07598,1.24585,0.00067033,0.00067033,0.00067033
3,14.9457,1.03541,1.62543,1.24489,0.65922,0.29598,0.48213,0.33546,1.09107,2.81225,1.31051,0.0009938,0.0009938,0.0009938
4,19.8032,1.0346,1.55355,1.22269,0.59187,0.46653,0.49655,0.26541,1.43244,2.7091,1.53157,0.00130381,0.00130381,0.00130381
5,24.5284,1.03446,1.48645,1.22094,0.54848,0.5133,0.47721,0.28345,1.39718,2.65182,1.58581,0.00153881,0.00153881,0.00153881
6,29.2017,1.01216,1.3731,1.21026,0.55883,0.29688,0.33519,0.21134,1.32482,2.81231,1.49305,0.00150676,0.00150676,0.00150676
7,34.7509,1.02802,1.41532,1.22111,0.53474,0.55209,0.55319,0.36154,1.22534,2.318,1.4186,0.00147471,0.00147471,0.00147471
8,39.454,1.03486,1.33309,1.23274,0.31825,0.3728,0.2567,0.10526,1.84573,2.97819,1.94533,0.00144266,0.00144266,0.00144266
9,44.0974,1.07476,1.29737,1.25435,0.59831,0.64969,0.64124,0.41612,1.24903,2.0421,1.3965,0.00141062,0.00141062,0.00141062
10,49.2072,1.04639,1.22397,1.22856,0.64426,0.66861,0.66199,0.43016,1.38111,1.90557,1.56026,0.00137857,0.00137857,0.00137857
11,54.4144,0.97848,1.21268,1.19582,0.58188,0.62849,0.64882,0.41215,1.19646,1.65279,1.36102,0.00134652,0.00134652,0.00134652
12,59.1184,0.96378,1.15447,1.15206,0.67258,0.61724,0.65639,0.46566,1.09371,1.68866,1.22554,0.00131447,0.00131447,0.00131447
13,63.779,0.92941,1.09342,1.16858,0.59693,0.67396,0.64269,0.47896,1.11223,1.70796,1.25705,0.00128242,0.00128242,0.00128242
14,68.4152,0.99423,1.09293,1.19953,0.71032,0.61392,0.68021,0.47312,1.1272,1.72137,1.27675,0.00125037,0.00125037,0.00125037
15,73.0335,0.87896,0.98222,1.1293,0.69215,0.51146,0.6337,0.45611,1.0723,1.87104,1.2857,0.00121833,0.00121833,0.00121833
16,77.6438,0.87423,0.98433,1.1454,0.72647,0.4776,0.6074,0.44171,1.0644,1.8328,1.2742,0.00118628,0.00118628,0.00118628
17,82.2551,0.86102,0.95162,1.12428,0.71998,0.6497,0.74102,0.52938,1.04477,1.38868,1.24139,0.00115423,0.00115423,0.00115423
18,86.915,0.87443,0.93878,1.1431,0.7773,0.65,0.74209,0.55076,1.14022,1.41414,1.33826,0.00112218,0.00112218,0.00112218
19,91.6516,0.83982,0.92675,1.1196,0.70001,0.7063,0.73917,0.54695,1.10211,1.45094,1.31745,0.00109013,0.00109013,0.00109013
20,96.2903,0.85802,0.92524,1.12376,0.7233,0.70114,0.71701,0.52524,1.15006,1.40884,1.31914,0.00105809,0.00105809,0.00105809
21,101.03,0.77873,0.84465,1.09237,0.71902,0.68055,0.7183,0.53683,1.05788,1.45985,1.30014,0.00102604,0.00102604,0.00102604
22,105.725,0.80689,0.84024,1.1238,0.86347,0.73399,0.82296,0.62408,0.97869,1.24175,1.20735,0.00099399,0.00099399,0.00099399
23,110.424,0.83567,0.84661,1.11221,0.7728,0.73725,0.79168,0.60724,0.96444,1.16979,1.13916,0.000961942,0.000961942,0.000961942
24,115.566,0.82926,0.83727,1.13848,0.77143,0.699,0.75452,0.56397,1.0765,1.27324,1.27718,0.000929894,0.000929894,0.000929894
25,120.737,0.8169,0.82234,1.10271,0.79008,0.67708,0.80691,0.64232,0.88012,1.23574,1.13608,0.000897846,0.000897846,0.000897846
26,125.763,0.79772,0.78532,1.10066,0.78534,0.75605,0.82292,0.63538,0.93519,1.09202,1.19319,0.000865798,0.000865798,0.000865798
27,130.378,0.72736,0.73699,1.06162,0.78139,0.753,0.81901,0.61393,0.93189,1.1636,1.18369,0.00083375,0.00083375,0.00083375
28,135.009,0.78122,0.73462,1.09486,0.77718,0.78051,0.79193,0.62836,0.87863,1.12204,1.13264,0.000801702,0.000801702,0.000801702
29,139.571,0.76454,0.73459,1.07869,0.7592,0.77263,0.78935,0.65495,0.83025,1.09657,1.12145,0.000769653,0.000769653,0.000769653
30,144.238,0.71795,0.69182,1.07603,0.78749,0.76207,0.79893,0.62768,0.8962,1.16423,1.12942,0.000737605,0.000737605,0.000737605
31,148.862,0.76383,0.73469,1.08461,0.80204,0.75479,0.8316,0.6687,0.86012,1.06532,1.12104,0.000705557,0.000705557,0.000705557
32,153.496,0.7352,0.71221,1.07839,0.70536,0.82488,0.82014,0.64,0.92794,1.0044,1.13461,0.000673509,0.000673509,0.000673509
33,158.132,0.71134,0.69528,1.06926,0.70247,0.8004,0.77848,0.61672,0.86822,1.21123,1.14812,0.000641461,0.000641461,0.000641461
34,162.688,0.67758,0.66806,1.04284,0.75826,0.81193,0.80571,0.65314,0.88493,0.98792,1.1275,0.000609413,0.000609413,0.000609413
35,167.233,0.67664,0.61606,1.04876,0.73052,0.83844,0.83635,0.68841,0.80435,0.94098,1.08694,0.000577365,0.000577365,0.000577365
36,171.905,0.66153,0.62664,1.045,0.72622,0.83441,0.83315,0.69168,0.74623,0.96551,1.04156,0.000545317,0.000545317,0.000545317
37,176.432,0.66235,0.64284,1.04246,0.75352,0.80312,0.8348,0.68926,0.79913,0.93691,1.08109,0.000513269,0.000513269,0.000513269
38,180.883,0.66052,0.60306,1.04541,0.79139,0.79657,0.81794,0.67877,0.80932,0.92438,1.09671,0.000481221,0.000481221,0.000481221
39,185.691,0.64052,0.61065,1.0437,0.8461,0.74172,0.86766,0.72403,0.79399,0.89995,1.08029,0.000449173,0.000449173,0.000449173
40,190.753,0.62245,0.57935,1.02464,0.84482,0.76458,0.85506,0.71582,0.79354,0.91756,1.08936,0.000417124,0.000417124,0.000417124
41,198.02,0.53397,0.58469,0.94897,0.76041,0.80218,0.82526,0.67621,0.88053,1.07209,1.15513,0.000385076,0.000385076,0.000385076
42,203.001,0.55402,0.55042,0.97211,0.84887,0.71979,0.83307,0.69167,0.83909,1.0136,1.11677,0.000353028,0.000353028,0.000353028
43,207.523,0.52119,0.51796,0.94563,0.88823,0.70521,0.8527,0.72351,0.75622,0.93473,1.07861,0.00032098,0.00032098,0.00032098
44,212.064,0.51769,0.49107,0.93404,0.90077,0.68763,0.84702,0.6956,0.79336,0.96734,1.07635,0.000288932,0.000288932,0.000288932
45,216.466,0.47769,0.47409,0.92429,0.70433,0.78021,0.79591,0.66522,0.84918,1.0334,1.11361,0.000256884,0.000256884,0.000256884
46,220.889,0.48005,0.45987,0.90988,0.72529,0.78438,0.82752,0.68557,0.81606,1.01144,1.10531,0.000224836,0.000224836,0.000224836
47,225.351,0.44475,0.41825,0.91468,0.72922,0.83572,0.85137,0.70734,0.77968,0.93813,1.0808,0.000192788,0.000192788,0.000192788
48,229.81,0.45525,0.42112,0.91093,0.84811,0.76142,0.85195,0.71318,0.72059,0.91256,1.04433,0.00016074,0.00016074,0.00016074
49,234.319,0.44154,0.43166,0.90375,0.84734,0.74586,0.84374,0.71788,0.74886,0.91557,1.06093,0.000128692,0.000128692,0.000128692
50,238.723,0.42805,0.41126,0.90996,0.8451,0.73229,0.83293,0.72044,0.7416,0.92543,1.06392,9.66435e-05,9.66435e-05,9.66435e-05
