epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7699,0.57044,8.98571,0.81765,0.37118,0.60687,0.43259,0.34983,0.40576,1.20177,0.63138,0.00054889,0.00054889,0.00054889
2,69.1572,0.30019,0.77237,0.38611,0.45239,0.52071,0.38717,0.26467,0.42114,1.17964,0.69944,0.00108313,0.00108313,0.00108313
3,102.066,0.3107,0.7244,0.41889,0.61919,0.58468,0.62931,0.42098,0.3511,0.71195,0.51369,0.00159581,0.00159581,0.00159581
4,135.547,0.31363,1.00793,0.42541,0.49141,0.51737,0.4376,0.32477,0.40999,1.23023,0.65187,0.00156998,0.00156998,0.00156998
5,169,0.26319,0.73034,0.34717,0.67833,0.62779,0.61829,0.4617,0.28909,0.82234,0.43238,0.00153764,0.00153764,0.00153764
6,202.409,0.27884,0.71223,0.34496,0.47069,0.61463,0.53028,0.41566,0.27111,0.92154,0.3736,0.0015053,0.0015053,0.0015053
7,235.533,0.24946,0.658,0.3185,0.65646,0.66322,0.65406,0.51418,0.28917,0.79251,0.46008,0.00147296,0.00147296,0.00147296
8,268.838,0.25309,0.62511,0.35183,0.78231,0.64578,0.71573,0.5396,0.28145,0.74739,0.45907,0.00144062,0.00144062,0.00144062
9,302.285,0.22855,0.62152,0.29475,0.7056,0.6625,0.74072,0.57922,0.26518,0.71296,0.45221,0.00140828,0.00140828,0.00140828
10,336.015,0.19275,0.53261,0.24561,0.6814,0.70977,0.75002,0.615,0.24673,0.67924,0.39046,0.00137594,0.00137594,0.00137594
11,369.492,0.20541,0.49199,0.2624,0.68989,0.5031,0.59242,0.50275,0.32674,0.86236,0.52281,0.0013436,0.0013436,0.0013436
12,402.513,0.21598,0.58089,0.28198,0.68666,0.54166,0.63185,0.47373,0.32384,0.94487,0.60313,0.00131126,0.00131126,0.00131126
13,435.495,0.2116,0.56343,0.2695,0.64097,0.67153,0.64757,0.50306,0.22921,0.78831,0.36141,0.00127892,0.00127892,0.00127892
14,468.536,0.1971,0.53433,0.24041,0.77236,0.64268,0.73453,0.60504,0.25806,0.64559,0.45087,0.00124658,0.00124658,0.00124658
15,501.523,0.19801,0.50772,0.26034,0.68726,0.73804,0.74897,0.5817,0.27098,0.70118,0.41417,0.00121424,0.00121424,0.00121424
16,534.527,0.20452,0.5226,0.26866,0.80672,0.7506,0.81214,0.67629,0.22457,0.53624,0.39354,0.0011819,0.0011819,0.0011819
17,567.846,0.20232,0.47567,0.27402,0.75276,0.79898,0.80741,0.67083,0.21685,0.56924,0.3559,0.00114956,0.00114956,0.00114956
18,600.815,0.2035,0.47819,0.27462,0.67338,0.72146,0.73449,0.61496,0.23413,0.73361,0.41227,0.00111722,0.00111722,0.00111722
19,634.034,0.18178,0.49434,0.24006,0.81419,0.73573,0.80724,0.67058,0.22515,0.62753,0.39555,0.00108488,0.00108488,0.00108488
20,667.007,0.18009,0.48052,0.23961,0.77092,0.70406,0.77252,0.64185,0.19848,0.69988,0.31083,0.00105254,0.00105254,0.00105254
21,700.175,0.16784,0.40945,0.21959,0.77417,0.78257,0.79204,0.64061,0.24326,0.61899,0.40812,0.0010202,0.0010202,0.0010202
