epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63454,0.5019,5.06953,1.11767,0.00752,0.87304,0.15764,0.1019,0.54451,7.57237,1.21461,0.0003334,0.0003334,0.0003334
2,11.0184,0.51468,4.56418,1.12518,0.00588,0.84337,0.33403,0.26604,0.47479,7.2982,1.10093,0.000670427,0.000670427,0.000670427
3,16.4785,0.60369,4.01422,1.17378,0.00455,0.89066,0.39396,0.28122,0.6856,7.27643,1.3858,0.000994092,0.000994092,0.000994092
4,21.7951,0.65633,3.89054,1.23328,0.80584,0.01913,0.08896,0.05683,1.14231,7.77565,1.91894,0.0013044,0.0013044,0.0013044
5,27.1092,0.688,3.66872,1.22873,0.20606,0.16807,0.06558,0.01802,1.65838,8.98545,3.8605,0.00153975,0.00153975,0.00153975
6,32.421,0.69435,3.16712,1.25771,0.37147,0.41084,0.29975,0.18825,0.79312,5.78896,1.56604,0.00150793,0.00150793,0.00150793
7,37.7599,0.70713,3.04654,1.26417,0.49144,0.35346,0.37371,0.18634,0.93312,5.26403,1.62162,0.00147612,0.00147612,0.00147612
8,43.7182,0.68724,2.78123,1.26117,0.42826,0.4113,0.42058,0.2738,0.80431,4.46547,1.54863,0.00144431,0.00144431,0.00144431
9,48.9875,0.68249,2.38359,1.21711,0.43291,0.46943,0.39905,0.24153,0.89214,4.80716,1.58212,0.00141249,0.00141249,0.00141249
10,54.2396,0.65711,2.28321,1.23136,0.4142,0.47026,0.37114,0.24748,0.84264,3.73321,1.61383,0.00138068,0.00138068,0.00138068
11,59.7806,0.6567,2.08553,1.22749,0.60161,0.50994,0.54686,0.36107,0.83721,3.22558,1.5738,0.00134887,0.00134887,0.00134887
12,65.198,0.65514,1.94099,1.19695,0.68517,0.56775,0.63839,0.45735,0.70962,2.6411,1.38147,0.00131705,0.00131705,0.00131705
13,70.4591,0.62789,1.74214,1.20628,0.53652,0.48584,0.48647,0.31197,0.83487,2.84512,1.4488,0.00128524,0.00128524,0.00128524
14,75.71,0.66406,1.70604,1.23334,0.68424,0.58916,0.67916,0.45264,0.80518,2.45641,1.50247,0.00125343,0.00125343,0.00125343
15,80.9242,0.66258,1.5769,1.18315,0.66119,0.66973,0.71097,0.53476,0.65418,2.05416,1.25384,0.00122161,0.00122161,0.00122161
16,86.1776,0.59428,1.43217,1.15785,0.7137,0.63675,0.70164,0.53807,0.69219,2.00422,1.319,0.0011898,0.0011898,0.0011898
17,91.4104,0.62757,1.39284,1.19762,0.61116,0.67072,0.64875,0.47183,0.70802,2.05059,1.31155,0.00115799,0.00115799,0.00115799
18,96.6007,0.60947,1.28082,1.1733,0.64995,0.62647,0.66395,0.484,0.61548,1.815,1.1976,0.00112618,0.00112618,0.00112618
19,101.893,0.61404,1.24726,1.16066,0.6772,0.65542,0.6786,0.50791,0.62653,1.78499,1.24812,0.00109436,0.00109436,0.00109436
20,107.174,0.58523,1.10069,1.13722,0.69681,0.67507,0.73027,0.5477,0.71829,1.59751,1.38879,0.00106255,0.00106255,0.00106255
21,112.461,0.56514,1.07471,1.12636,0.68715,0.73825,0.75283,0.58599,0.67036,1.44123,1.27494,0.00103074,0.00103074,0.00103074
