epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90655,0.89978,2.60664,1.14035,0.00427,0.98507,0.53383,0.40557,0.6846,3.23485,1.03001,0.0003334,0.0003334,0.0003334
2,10.6545,0.98472,1.91863,1.2129,0.00416,0.97938,0.50353,0.3578,0.9261,3.23524,1.23678,0.00067033,0.00067033,0.00067033
3,15.4943,0.97519,1.65078,1.23484,0.61724,0.07895,0.1621,0.06605,2.10036,3.79129,2.66413,0.0009938,0.0009938,0.0009938
4,20.2861,1.08355,1.61526,1.26401,0.56737,0.18784,0.33689,0.16022,1.4187,3.32111,1.64554,0.00130381,0.00130381,0.00130381
5,24.9624,1.11837,1.5436,1.26873,0.49491,0.46112,0.46765,0.27237,1.48583,2.90447,1.59378,0.00153881,0.00153881,0.00153881
6,29.5907,1.07001,1.47262,1.23865,0.53134,0.5976,0.53604,0.34268,1.24295,2.38013,1.5293,0.00150676,0.00150676,0.00150676
7,34.1833,1.06093,1.39687,1.23666,0.56412,0.45507,0.47386,0.26969,1.36844,2.67467,1.82877,0.00147471,0.00147471,0.00147471
8,38.747,1.09597,1.38572,1.28347,0.58131,0.68755,0.61309,0.40276,1.21806,2.26702,1.43047,0.00144266,0.00144266,0.00144266
9,44.2158,1.0323,1.329,1.24192,0.7304,0.50789,0.58429,0.39929,1.21512,2.35133,1.45146,0.00141062,0.00141062,0.00141062
10,48.7555,1.05279,1.27618,1.22953,0.61939,0.7191,0.72519,0.49019,1.07606,2.00222,1.32513,0.00137857,0.00137857,0.00137857
11,53.2557,0.99601,1.17952,1.20162,0.76672,0.76181,0.79502,0.46898,1.2116,1.9288,1.3957,0.00134652,0.00134652,0.00134652
12,57.833,1.04754,1.20192,1.22216,0.66914,0.67848,0.61881,0.43838,1.05853,1.90289,1.30751,0.00131447,0.00131447,0.00131447
