Optimizer,lr0,lrf,momentum,weight_decay,mosaic,box,Precision,Recall,mAP50,mAP50-95
Baseline,0.01,0.01,0.937,0.0005,1.0,7.5,0.8742,0.8118,0.883,0.7974
PSO,0.012745627853452884,0.008343433404522744,0.9260237716119631,0.0007186189969741334,0.0,7.328206198816574,0.8816398462971835,0.8063632527190242,0.8905314310348942,0.8004243293851493
